源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,单间,精致公寓合租 免押金,主卧(3室),25㎡,None,人民南,个人,800,http://short.58.com/zd_p/9a2d5da3-ccd3-4855-9b8f-57a5f2e36bd4/?target=fh-16-xgk_ephv_32075019590091q-feykn&end=end
58,单间,超大一房一厅、采光超好、独立厨卫、全新家私家电、拎包,主卧(1室),46㎡,None,西乡,个人,1300,http://short.58.com/zd_p/894a25bf-77b9-41b2-9ea3-282e98bff80c/?target=fh-16-xgk_ephv_32673278863550q-feykn&end=end
58,单间,南航明珠花园 4室2厅 次卧 朝南北 精装修,次卧(4室),150㎡,None,西乡,个人,1400,http://short.58.com/zd_p/beeb1b42-1034-4a5b-b7c2-f6d384c94da8/?target=fh-16-xgk_ephv_36258773166341q-feykn&end=end
58,整租,万科广场6分钟、吉祥站300米、公交站30米,1室0厅1卫,20㎡,None,龙岗中心城,个人,550,http://short.58.com/zd_p/ee4f33e9-64be-4103-bdca-3891a6b00fd2/?target=fh-16-xgk_hvimob_76927282085270q-feykn&end=end
58,单间,合租 科技园 海怡东方 2室2厅 主卧 朝南 精装修,主卧(2室),14㎡,None,科技园,个人,3000,http://short.58.com/zd_p/ac918353-6c63-471e-aad0-1cc3c4d544f8/?target=fh-16-xgk_ephv_32080841874662q-feykn&end=end
58,单间,个人直租/无中介、无中介、无中介、无中介、自家房子,主卧(1室),30㎡,None,龙岗中心城,个人,700,http://short.58.com/zd_p/53cf4975-09ed-430e-a194-71c524874cfa/?target=fh-16-xgk_ephv_84451386470264q-feykn&end=end
58,整租,维港公寓 1室1厅1卫,1室1厅1卫,30㎡,None,民治,个人,1750,http://short.58.com/zd_p/6da49d04-2328-44a7-ab83-650986911049/?target=fh-16-xgk_hvimob_32212705708394q-feykn&end=end
58,整租,平山村 大学城C出口 单间 一房一厅 直租 个人个人,1室0厅1卫,24㎡,平山村,西丽,个人,1400,http://short.58.com/zd_p/26379910-8209-49d3-8990-085f4a99a826/?target=fh-16-xgk_hvimob_32130160702633q-feykn&end=end
58,整租,龙岗坪地宜城风景 3室1厅 108平米 精装修 押二,3室1厅1卫,108㎡,None,坪地,个人,3800,http://short.58.com/zd_p/1e59d25a-49db-48a6-8fc2-ca9ee57a7efa/?target=fh-16-xgk_hvimob_30919556245734q-feykn&end=end
58,整租,地铁站零距离、房东直租《大单间、一房一厅》火爆招租家,1室0厅1卫,43㎡,None,龙岗中心城,个人,600,http://short.58.com/zd_p/c8f19f06-39d8-42c4-9b78-885af3cef483/?target=fh-16-xgk_hvimob_32275755276685q-feykn&end=end
58,整租,TATA公寓 1室1厅1卫,1室1厅1卫,32㎡,TATA公寓,新安,个人,2500,http://short.58.com/zd_p/74e4d754-6578-4933-b892-ea94a624d85e/?target=fh-16-xgk_hvimob_32270387961198q-feykn&end=end
58,单间,畔山花园莲塘-罗湖主卧900元/月,主卧(4室以上),120㎡,畔山花园,莲塘,个人,900,http://short.58.com/zd_p/dffa0270-43bf-485b-a213-c3f03719e98f/?target=fh-16-xgk_ephv_36562201944115q-feykn&end=end
58,单间,大冲男女生公寓精品床、极速WiFi水电燃气全包、月租,主卧(4室),175㎡,大冲城市花园,科技园,个人,800,http://short.58.com/zd_p/7217a994-bf4e-4232-975c-b7fd44b346a8/?target=fh-16-xgk_ephv_32204164577461q-feykn&end=end
58,整租,西丽法庭公交 1室1厅 40平米 精装修 押二付一,1室1厅1卫,40㎡,None,西丽,个人,1700,http://short.58.com/zd_p/07c75cd6-1fbc-4903-8160-69ffa780892e/?target=fh-16-xgk_hvimob_32765761469541q-feykn&end=end
58,整租,地铁站A出口 1室0厅1卫,1室0厅1卫,32㎡,None,西乡,个人,800,http://short.58.com/zd_p/d9cd667f-f77c-4447-a306-0a8fc7b7be01/?target=fh-16-xgk_hvimob_84438388683170q-feykn&end=end
58,整租,民治 地铁口 1室1厅 50平米 全新中等装修带空调,1室1厅1卫,50㎡,None,民治,个人,1600,http://short.58.com/zd_p/ecaea707-3f69-48bf-b20e-d7f5c4ab3425/?target=fh-16-xgk_hvimob_32904534649266q-feykn&end=end
58,单间,个人直租 南山科技园大冲城市花园 杂费另计,(3室),125㎡,大冲城市花园,科技园,个人,880,http://short.58.com/zd_p/bc1f4865-1b14-4f2d-9d0e-764a3e42b497/?target=fh-16-xgk_ephv_84481917676322q-feykn&end=end
58,整租,南山古城 1室0厅1卫,1室0厅1卫,25㎡,None,南头,个人,1700,http://short.58.com/zd_p/8fbc1ec2-f9c8-44a5-aec6-6e1b593200a2/?target=fh-16-xgk_hvimob_84471851267316q-feykn&end=end
58,整租,大冲新城花园 2室1厅1卫,2室1厅1卫,70㎡,None,南新路口,个人,6350,http://short.58.com/zd_p/25819ace-c007-4953-94c6-89edd747c553/?target=fh-16-xgk_hvimob_84486310159704q-feykn&end=end
58,单间,景田新景苑(福田 1室1厅卫主卧 朝东 豪华装修,主卧(1室),20㎡,None,景田,个人,2699,http://short.58.com/zd_p/f07d26a9-820f-4660-b4a6-18b5cd555662/?target=fh-16-xgk_ephv_32296414730367q-feykn&end=end
58,单间,南山区大冲都市花园高品质男生公寓合租,主卧(3室),125㎡,None,大冲,个人,900,http://short.58.com/zd_p/51a55ddd-138e-49e3-bc37-00f0e0d64ec9/?target=fh-16-xgk_ephv_32017482948308q-feykn&end=end
58,单间,福中福花园二 3室2厅 次卧 朝东 精装修,次卧(3室),18㎡,None,宝安中心区,个人,1450,http://short.58.com/zd_p/2bcb1e66-2da7-4c56-a9c6-2cadeda49938/?target=fh-16-xgk_ephv_32147278607322q-feykn&end=end
58,整租,地铁洪浪北站 1室1厅1卫,1室1厅1卫,30㎡,None,深圳,个人,2280,http://short.58.com/zd_p/d5e532fe-7f9a-4899-95f1-f8980f11a98c/?target=fh-16-xgk_hvimob_36290591552996q-feykn&end=end
58,单间,龙华新区万科金域华府 3室2厅 次卧 朝南 豪华装修,次卧(3室),25㎡,万科金域华府(公寓),龙华,个人,2200,http://short.58.com/zd_p/4e70017e-58e8-4e14-9228-92512d867525/?target=fh-16-xgk_ephv_32013868247523q-feykn&end=end
58,整租,龙军花园 3室1厅2卫,3室1厅2卫,110㎡,龙军花园,龙华,个人,4500,http://short.58.com/zd_p/180320b9-7fc1-43b4-83f6-e20fa5fe19e6/?target=fh-16-xgk_hvimob_84482083784779q-feykn&end=end
58,整租,田背花园 1室1厅 23平米 中等装修 押二付一,1室1厅1卫,23㎡,田背花园,观澜,个人,1200,http://short.58.com/zd_p/4e2010be-3c03-4659-83f8-519e6dde1ac9/?target=fh-16-xgk_hvimob_36940481057816q-feykn&end=end
58,整租,安鸿峰景苑 3室2厅1卫,3室2厅1卫,89㎡,None,丹竹头,个人,3800,http://short.58.com/zd_p/f33f2934-7305-45e6-8a7e-9573ad5ee18d/?target=fh-16-xgk_hvimob_32278610299828q-feykn&end=end
58,单间,南油大厦附近登良花园 4室2厅主卧 精装修1450元,主卧(4室),18㎡,登良花园,南油,个人,1450,http://short.58.com/zd_p/981997ca-0d9d-471e-91e5-1f0829ef5ebe/?target=fh-16-xgk_ephv_84455254283719q-feykn&end=end
58,整租,大学城C出口、平山村大小单间一室一厅两室一厅无(个人,1室0厅1卫,26㎡,平山村,西丽,个人,1400,http://short.58.com/zd_p/bdbe3c5e-25c8-48a8-9075-a6dd936dada5/?target=fh-16-xgk_hvimob_32832102711359q-feykn&end=end
58,整租,莲丰花园 2室1厅 70平米 豪华装修 面议,2室1厅1卫,70㎡,None,莲花北村,个人,5300,http://short.58.com/zd_p/e5f30277-2600-4bdb-87b3-84d75a847ab0/?target=fh-16-xgk_hvimob_32931424335929q-feykn&end=end
58,整租,南山科技园科苑北附近全新酒店式单身电梯公寓 独立厨卫,1室0厅1卫,22㎡,None,科技园,个人,1800,http://short.58.com/zd_p/0a712345-1a81-4fca-8d68-3b4f8ab3b81d/?target=fh-16-xgk_hvimob_32624297767629q-feykn&end=end
58,整租,宝安西乡坪洲渔业新村精装公寓招租,1室0厅1卫,20㎡,None,西乡,个人,1300,http://short.58.com/zd_p/fc05818f-22ec-4b43-8537-e687921f6533/?target=fh-16-xgk_hvimob_32776019068119q-feykn&end=end
58,整租,新天地名居 1室1厅1卫,1室1厅1卫,40㎡,None,黄贝岭,个人,3800,http://short.58.com/zd_p/bfc988ed-e5f6-4750-b3ae-0a397b7c5d57/?target=fh-16-xgk_hvimob_84448730928317q-feykn&end=end
58,整租,紧邻地铁口个人房源家电家私齐全 1室1厅1卫,1室1厅1卫,40㎡,None,龙岗中心城,个人,900,http://short.58.com/zd_p/0f4dc934-bf54-4dcf-aa07-d9cabc573f0e/?target=fh-16-xgk_hvimob_32206024387342q-feykn&end=end
58,整租,巫屋村三巷6 1室1厅1卫,1室1厅1卫,50㎡,None,龙岗中心城,个人,800,http://short.58.com/zd_p/2a9ab80a-0264-4f37-9235-ee8ccd5d918d/?target=fh-16-xgk_hvimob_32292651632403q-feykn&end=end
58,整租,桃源村二期 3室1厅1卫,3室1厅1卫,76㎡,桃源村二期,西丽,个人,4500,http://short.58.com/zd_p/abfd6077-ec09-4537-88b7-96f2dc03bbeb/?target=fh-16-xgk_hvimob_84486470768329q-feykn&end=end
58,单间,诚信个人房源 2室1厅 次卧出租 朝东西,次卧(2室),20㎡,None,罗湖区委,个人,1500,http://short.58.com/zd_p/7998e62f-387e-454e-b7f7-499b3630a116/?target=fh-16-xgk_ephv_84485074093101q-feykn&end=end
