源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,光明新区、公明镇、蒋石公园恒安居 4室2厅2卫,4室2厅2卫,120㎡,None,光明新区,个人,2100,http://sz.58.com/zufang/24328537734323x.shtml
58,整租,精装家配齐全豪景房出租,2室2厅1卫,85㎡,None,光明新区,个人,1900,http://sz.58.com/zufang/25691964859828x.shtml
58,整租,楼村社区 3室1厅2卫,3室1厅2卫,110㎡,None,光明新区,个人,1800,http://sz.58.com/zufang/29951441792327x.shtml
58,整租,光明新区锦田湾 3室2厅 138平米 精装修 押二付,3室2厅2卫,138㎡,None,光明新区,个人,3800,http://sz.58.com/zufang/28078755154757x.shtml
58,整租,光明新区融域名城花园小区3室1厅1卫2500元,3室1厅1卫,None,融域名城,光明新区,个人,2500,http://sz.58.com/zufang/29945756813764x.shtml
58,整租,光明新区公明上村下辇 2室1厅1卫,2室1厅1卫,50㎡,None,光明新区,个人,800,http://sz.58.com/zufang/30045548392106x.shtml
58,整租,公明上村元山四巷三号旭日商店,2室1厅2卫,70㎡,None,光明新区,个人,800,http://sz.58.com/zufang/24595169929530x.shtml
58,整租,锦田湾 3室2厅2卫,3室2厅2卫,125㎡,None,光明新区,个人,3300,http://sz.58.com/zufang/29938496888110x.shtml
58,整租,御景新城 2室1厅1卫,2室1厅1卫,81.8㎡,御景新城,光明新区,个人,1600,http://sz.58.com/zufang/29979701945649x.shtml
58,单间,民鑫商贸大厦 豪华装修3室2厅2卫 单间招合租男女不,次卧(3室),110㎡,None,光明新区,个人,800,http://sz.58.com/hezu/29515457829034x.shtml
58,整租,融域名城 3室2厅1卫,3室2厅1卫,100㎡,None,光明新区,个人,3000,http://sz.58.com/zufang/30006376292043x.shtml
58,整租,福盈中央山花 4室2厅2卫,4室2厅2卫,121㎡,福盈中央山花园,光明新区,个人,3800,http://sz.58.com/zufang/30044956524735x.shtml
58,整租,光明新区轩苑居 2室2厅 97平米 简单装修 押二付,2室2厅1卫,97㎡,轩苑居,光明新区,个人,2800,http://sz.58.com/zufang/29814460100010x.shtml
58,整租,福盈中央山花 3室2厅2卫,3室2厅2卫,96㎡,福盈中央山花园,光明新区,个人,3500,http://sz.58.com/zufang/30023276707528x.shtml
58,整租,公明田寮龙城大厦 3室2厅1卫,3室2厅1卫,108㎡,None,光明新区,个人,1800,http://sz.58.com/zufang/30024334882617x.shtml
58,整租,圳美家园 1室1厅1卫,1室1厅1卫,50㎡,None,光明新区,个人,700,http://sz.58.com/zufang/30012232008265x.shtml
58,整租,宏发嘉域 3室2厅2卫,3室2厅2卫,89㎡,None,光明新区,个人,3000,http://sz.58.com/zufang/29955959992247x.shtml
58,整租,聚福明苑 3室2厅1卫,3室2厅1卫,108㎡,None,光明新区,个人,1300,http://sz.58.com/zufang/30038064374967x.shtml
58,整租,光明峰荟 精装 家具配套齐全 4室2厅2卫,4室2厅2卫,88㎡,None,光明新区,个人,3500,http://sz.58.com/zufang/29282108186436x.shtml
58,整租,公明田寮小学旁景田大夏 3室1厅1卫,3室1厅1卫,98㎡,None,光明新区,个人,2000,http://sz.58.com/zufang/30014998276919x.shtml
