源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,光明区-秋园雅苑 2室1厅1卫,2室1厅1卫,80㎡,None,光明新区,个人,2050,http://short.58.com/zd_p/27e9990d-df34-4204-8d49-fc8a213b247c/?target=fh-16-xgk_hvimob_32651375964443q-feykn&end=end
58,整租,光明新区、公明镇、蒋石公园恒安居 4室2厅2卫,4室2厅2卫,120㎡,None,光明新区,个人,2100,http://sz.58.com/zufang/24328537734323x.shtml
58,整租,138平方包部分家电 4室2厅2卫2200元,4室2厅2卫,None,None,光明新区,个人,2200,http://sz.58.com/zufang/29982134583114x.shtml
58,整租,恒海园 2室1厅1卫,2室1厅1卫,91㎡,None,光明新区,个人,1500,http://sz.58.com/zufang/29994522978747x.shtml
58,整租,光明新区恒海园 2室1厅1卫,2室1厅1卫,91㎡,None,光明新区,个人,1500,http://sz.58.com/zufang/29981705502130x.shtml
58,整租,出租一房一厅450元电梯房 1室1厅1卫,1室1厅1卫,70㎡,None,光明新区,个人,450,http://sz.58.com/zufang/30035215381562x.shtml
58,整租,金湖苑 3室2厅1卫,3室2厅1卫,110㎡,None,光明新区,个人,1500,http://sz.58.com/zufang/29381949214918x.shtml
58,整租,楼村小学旁边 2室1厅1卫,2室1厅1卫,60㎡,None,光明新区,个人,500,http://sz.58.com/zufang/30036648217022x.shtml
58,整租,田寮社区 2室1厅1卫,2室1厅1卫,65㎡,None,光明新区,个人,700,http://sz.58.com/zufang/30036626527402x.shtml
58,整租,宏发美域 3室2厅1卫,3室2厅1卫,109㎡,None,光明新区,个人,4200,http://sz.58.com/zufang/30036532671795x.shtml
58,整租,宏发上域花园 1室1厅1卫,1室1厅1卫,38㎡,None,光明新区,个人,2100,http://sz.58.com/zufang/30013363085893x.shtml
58,整租,宏发上域花园 2室2厅1卫,2室2厅1卫,70㎡,None,光明新区,个人,2000,http://sz.58.com/zufang/29826072689724x.shtml
58,整租,瓦房出住两层楼出住280元 2室2厅1卫,2室2厅1卫,120㎡,None,光明新区,个人,280,http://sz.58.com/zufang/30036412738358x.shtml
58,整租,公明楼村居委会旁 3室1厅1卫,3室1厅1卫,70㎡,None,光明新区,个人,1100,http://sz.58.com/zufang/29904146807855x.shtml
58,单间,公寓 1室1厅1卫带家电,主卧(1室),25㎡,None,光明新区,个人,1100,http://sz.58.com/hezu/29441696562747x.shtml
58,整租,马山头公交站附近 2室1厅1卫,2室1厅1卫,50㎡,None,光明新区,个人,580,http://sz.58.com/zufang/30035859749047x.shtml
58,整租,御景新城 2室1厅1卫,2室1厅1卫,81.8㎡,御景新城,光明新区,个人,1600,http://sz.58.com/zufang/29979701945649x.shtml
58,单间,公明街道将石 1室0厅 主卧,主卧(1室),20㎡,None,光明新区,个人,300,http://sz.58.com/hezu/29947332259509x.shtml
58,整租,公明田寮龙城大厦 3室2厅1卫,3室2厅1卫,108㎡,None,光明新区,个人,1800,http://sz.58.com/zufang/30024334882617x.shtml
58,整租,红花公馆 3室2厅1卫,3室2厅1卫,95㎡,None,光明新区,个人,1900,http://sz.58.com/zufang/29971388100011x.shtml
58,整租,阳光雅苑光明新区四房两厅带入户厅 4室2厅2卫,4室2厅2卫,148㎡,None,光明新区,个人,2800,http://sz.58.com/zufang/29836740482107x.shtml
58,整租,瑞园荔景 2室2厅1卫,2室2厅1卫,89㎡,None,光明新区,个人,1200,http://sz.58.com/zufang/30012607072072x.shtml
58,整租,楼村社区 3室1厅2卫,3室1厅2卫,110㎡,None,光明新区,个人,1800,http://sz.58.com/zufang/29951441792327x.shtml
58,整租,光明峰荟 4室2厅2卫,4室2厅2卫,87㎡,None,光明新区,个人,4200,http://sz.58.com/zufang/29923165085230x.shtml
58,整租,鼎盛大厦 1室1厅1卫,1室1厅1卫,40㎡,None,光明新区,个人,700,http://sz.58.com/zufang/30026499966285x.shtml
58,单间,光明新区公明塘尾塘府 3室2厅 主卧 朝南 豪华装修,主卧(3室),50㎡,None,光明新区,个人,800,http://sz.58.com/hezu/30034792142405x.shtml
58,整租,光明大第 4室2厅2卫,4室2厅2卫,130㎡,光明大第,光明新区,个人,5000,http://sz.58.com/zufang/30034781025997x.shtml
58,整租,光明峰荟 精装 家具配套齐全 4室2厅2卫,4室2厅2卫,88㎡,None,光明新区,个人,3500,http://sz.58.com/zufang/29282108186436x.shtml
58,整租,光明新区锦田湾 3室2厅 138平米 精装修 押二付,3室2厅2卫,138㎡,None,光明新区,个人,3800,http://sz.58.com/zufang/28078755154757x.shtml
58,单间,合水口带电梯新房 环境好 家电齐全,主卧(3室),25㎡,None,光明新区,个人,300,http://sz.58.com/hezu/29725204440115x.shtml
58,整租,公明田寮景田大厦 2室1厅1卫,2室1厅1卫,68㎡,None,光明新区,个人,1200,http://sz.58.com/zufang/30034335282762x.shtml
58,整租,光明新区融域名城 2室1厅 80平米 精装修 押一付,2室1厅1卫,80㎡,融域名城,光明新区,个人,2500,http://sz.58.com/zufang/27538061458986x.shtml
58,整租,融域名城 3室2厅1卫,3室2厅1卫,100㎡,None,光明新区,个人,3000,http://sz.58.com/zufang/30006376292043x.shtml
58,整租,公明塘尾 2室1厅1卫,2室1厅1卫,80㎡,None,光明新区,个人,750,http://sz.58.com/zufang/30027211638198x.shtml
58,整租,荔园小区 2室2厅1卫,2室2厅1卫,60㎡,None,光明新区,个人,1200,http://sz.58.com/zufang/29936950536254x.shtml
58,单间,田寮怡馨居 2室1厅1卫 限女,次卧(2室),90㎡,None,光明新区,个人,600,http://sz.58.com/hezu/30023423612097x.shtml
