源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,大学城C出口、西丽平山村 精装公寓、家电齐全、独立厨,1室0厅1卫,26㎡,平山村,西丽,个人,1300,http://short.58.com/zd_p/bd365021-2532-41d6-afeb-ea6522a4902d/?target=fh-16-xgk_hvimob_32130526294205q-feykn&end=end
58,整租,南山华侨城东方科技园侨 1室1厅 41平米 精装修,1室1厅1卫,41㎡,None,华侨城,个人,3200,http://short.58.com/zd_p/a72897ff-d0e9-4948-88fd-1b8f305bdf9b/?target=fh-16-xgk_hvimob_32232596699810q-feykn&end=end
58,单间,南山南头南苑东区 3室1厅 主卧 朝东 中等装修,主卧(3室),15㎡,南苑东区,南山区政府,个人,1800,http://short.58.com/zd_p/c94e7bd5-d266-49c3-a049-8edd82f14371/?target=fh-16-xgk_ephv_84448852518009q-feykn&end=end
58,整租,白石洲1房1 1室1厅1卫,1室1厅1卫,45㎡,None,白石洲,个人,2200,http://short.58.com/zd_p/76e35ad8-0fdc-44e0-b466-eed11ba63be5/?target=fh-16-xgk_hvimob_84473502400582q-feykn&end=end
58,床位,个人直租科技园大冲都市花园 3室2厅床位,主卧(3室),12㎡,大冲都市花园,科技园,个人,880,http://short.58.com/zd_p/1b406a53-c268-48e1-bcc0-f731440d2064/?target=fh-16-xgk_ephv_84489646207042q-feykn&end=end
58,整租,保利城花园 2室2厅1卫,2室2厅1卫,92㎡,保利城花园,南山周边,个人,7200,http://short.58.com/zd_p/65da15b0-cbd1-4d18-9462-272381934d3d/?target=fh-16-xgk_hvimob_84438400035591q-feykn&end=end
58,单间,合租 科技园 海怡东方 2室2厅 主卧 朝南 精装修,主卧(2室),14㎡,None,科技园,个人,3000,http://short.58.com/zd_p/b5e376a3-2be1-43f6-a88c-555e7ba3e4f2/?target=fh-16-xgk_ephv_32080841874662q-feykn&end=end
58,整租,南山西丽群泰大厦复式 精装修公寓管理处直租,1室0厅1卫,25㎡,None,西丽,个人,2100,http://short.58.com/zd_p/0c502f55-fbe1-49de-b7be-d3f6c8482e01/?target=fh-16-xgk_hvimob_32278733100854q-feykn&end=end
58,单间,南山蛇口春树里小区 3室2厅 次卧 朝南 精装修,次卧(3室),12㎡,春树里小区,蛇口,个人,1850,http://short.58.com/zd_p/644210fe-6e38-4e5d-b3c0-5d542c5174af/?target=fh-16-xgk_ephv_32769117913758q-feykn&end=end
58,单间,主卧朝南 3室2厅1卫 可住2人 男女不限,主卧(3室),25㎡,None,南山,个人,2200,http://short.58.com/zd_p/1a9f0998-9bf2-403d-989d-080d4f6ffbbd/?target=fh-16-xgk_ephv_32270401130975q-feykn&end=end
58,整租,汇滨广场 2室1厅1卫,2室1厅1卫,45㎡,None,南油,个人,3700,http://short.58.com/zd_p/7dadeab2-199e-40dd-a468-ae758d2b5132/?target=fh-16-xgk_hvimob_32606062728139q-feykn&end=end
58,整租,海昌大厦 2室2厅1卫,2室2厅1卫,68㎡,None,蛇口,个人,4500,http://short.58.com/zd_p/adcbb6e2-0965-4a50-8d06-27a451f8a7fd/?target=fh-16-xgk_hvimob_32270494675487q-feykn&end=end
58,整租,南山古城 1室0厅1卫,1室0厅1卫,25㎡,None,南头,个人,1700,http://short.58.com/zd_p/ee44c6fd-7b3c-4459-a68e-872e5c5cf959/?target=fh-16-xgk_hvimob_84471851267316q-feykn&end=end
58,单间,大冲男女生公寓精品床、极速WiFi水电燃气全包、月租,主卧(4室),175㎡,大冲城市花园,科技园,个人,800,http://short.58.com/zd_p/9deae20e-fd53-4929-8e93-147619f503e6/?target=fh-16-xgk_ephv_32204164577461q-feykn&end=end
58,单间,蛇口线-水湾地铁站 海湾花园中卧1450元 带家电,次卧(4室),15㎡,None,南山区政府,个人,1450,http://short.58.com/zd_p/2ae30316-f0ee-4af4-ac7b-a30c85cca776/?target=fh-16-xgk_ephv_32264648376143q-feykn&end=end
58,整租,南山地铁站a出口 1室0厅1卫,1室0厅1卫,20㎡,None,桂庙路口,个人,1600,http://short.58.com/zd_p/d2b040d2-b358-41ad-ac11-e2acb519cf6a/?target=fh-16-xgk_hvimob_84475253839464q-feykn&end=end
58,床位,个人直租大冲城市花园3房两厅两卫床位,主卧(3室),12㎡,大冲城市花园,大冲,个人,880,http://short.58.com/zd_p/0da2176b-44fa-4fa7-bcd0-5b36e8bdee9c/?target=fh-16-xgk_ephv_84485674604619q-feykn&end=end
58,单间,深大附近——安静通风的大飘窗东向大次卧业主招男士,次卧(4室),15㎡,深航飞行员公寓,南山区政府,个人,1650,http://short.58.com/zd_p/32c50e78-d4b7-479c-8fe1-04f050bc277e/?target=fh-16-xgk_ephv_32293137662264q-feykn&end=end
58,整租,南山科技园、全新装修、德迅公寓 1室1厅 48平米、,1室1厅1卫,48㎡,None,科技园,个人,1700,http://short.58.com/zd_p/376497ea-5c34-4a07-9913-a89b6ec6526f/?target=fh-16-xgk_hvimob_32582849831724q-feykn&end=end
58,整租,南山西丽大学城地铁站公寓1室1厨1卫1阳台家私齐全、,1室0厅1卫,26㎡,平山村,西丽,个人,1400,http://short.58.com/zd_p/8bdf45b5-89b6-4cea-ac37-d1a4249b2a8c/?target=fh-16-xgk_hvimob_32520623788877q-feykn&end=end
58,整租,山海美域 3室1厅1卫,3室1厅1卫,88㎡,山海美域,前海,个人,5500,http://short.58.com/zd_p/303f7f04-e197-46ef-82a7-54b049c12e5b/?target=fh-16-xgk_hvimob_36320097393794q-feykn&end=end
58,单间,南山南头英达钰龙园 主卧大阳台 2290 拎包入住,主卧(3室),20㎡,英达钰龙园,南头,个人,2290,http://short.58.com/zd_p/5e5036af-8928-4553-aed3-752a3aff6f5c/?target=fh-16-xgk_ephv_32293873440692q-feykn&end=end
58,整租,蛇口自贸区总裁别院180平豪宅,5室2厅3卫,None,None,南油,个人,28000,http://short.58.com/zd_p/02c5a183-f827-45df-8d3d-d03d46209bf2/?target=fh-16-xgk_hvimob_32663729245782q-feykn&end=end
58,整租,南山村 1室1厅1卫,1室1厅1卫,35㎡,None,南油,个人,2600,http://short.58.com/zd_p/60a6d31f-f348-460b-a5f2-617fd93feecd/?target=fh-16-xgk_hvimob_32262636555385q-feykn&end=end
58,整租,大学城C出口、平山村大小单间带阳台光线充足无(个人),1室0厅1卫,26㎡,平山村,西丽,个人,1400,http://short.58.com/zd_p/e2d74154-1e67-423d-9943-6f32a5eedb1e/?target=fh-16-xgk_hvimob_32504663023444q-feykn&end=end
58,单间,南山西丽中爱花园 2室1厅 主卧 朝东南 精装修,主卧(2室),67㎡,中爱花园,西丽,个人,2300,http://short.58.com/zd_p/526523aa-3f8e-4132-92e8-1d0265586792/?target=fh-16-xgk_ephv_32659903936532q-feykn&end=end
58,整租,南山科技园精装电梯公寓 光线充足拎包入住,1室0厅1卫,22㎡,None,科技园,个人,2500,http://short.58.com/zd_p/940405c6-6584-41a1-909c-56ad14ab87bf/?target=fh-16-xgk_hvimob_32271530485679q-feykn&end=end
58,整租,南山科技园西丽法庭 1室1厅 36平米、 全新装修、,1室1厅1卫,36㎡,None,科技园,个人,1300,http://short.58.com/zd_p/7bcd1e88-efcd-4979-b248-1e795a96abf2/?target=fh-16-xgk_hvimob_32959127110451q-feykn&end=end
58,单间,南山地铁口旁 东方海雅居 3室1厅 次卧 朝南 招女,次卧(3室),18㎡,东方海雅居,南油,个人,1500,http://short.58.com/zd_p/d97b2976-56aa-4c2d-ab53-056167c14911/?target=fh-16-xgk_ephv_84435601767012q-feykn&end=end
58,整租,南山科技园城市山谷公寓 48平 无 精装修,1室1厅1卫,43㎡,城市山谷花园(公寓),科技园,个人,3900,http://short.58.com/zd_p/f3745cb4-f340-4ca1-9abf-3191b8f27f47/?target=fh-16-xgk_hvimob_32663350763866q-feykn&end=end
58,整租,南山科技园科苑北附近全新酒店式单身电梯公寓 独立厨卫,1室0厅1卫,22㎡,None,科技园,个人,1800,http://short.58.com/zd_p/1a239e82-e2db-46c1-88fe-9622d1d18dd6/?target=fh-16-xgk_hvimob_32624297767629q-feykn&end=end
58,整租,西丽法庭公交 1室1厅 40平米 精装修 押二付一,1室1厅1卫,40㎡,None,西丽,个人,1700,http://short.58.com/zd_p/90d92418-9021-4ed4-b7b9-2f48d0005b1e/?target=fh-16-xgk_hvimob_32765761469541q-feykn&end=end
58,整租,南山村南巷4号 2室1厅1卫,2室1厅1卫,39㎡,None,南新路口,个人,3500,http://short.58.com/zd_p/c5d0c9df-94f7-4269-92aa-8b8211f730c1/?target=fh-16-xgk_hvimob_32230889469630q-feykn&end=end
58,整租,香格名苑 3室1厅1卫,3室1厅1卫,90㎡,香格名苑,前海,个人,7000,http://short.58.com/zd_p/1e08861a-31c0-4f08-bb5b-f9a1575d3176/?target=fh-16-xgk_hvimob_84439718941299q-feykn&end=end
58,单间,蛇口花园城旁安静小区房出租,次卧(3室),10㎡,None,蛇口,个人,1350,http://short.58.com/zd_p/39d03c8a-e33e-4a16-86ba-c55374af5907/?target=fh-16-xgk_ephv_35249412526637q-feykn&end=end
58,整租,深圳湾E湾商住公寓无毒精装2室2厅 82平米 及国际,2室2厅1卫,82㎡,None,科技园,个人,11000,http://short.58.com/zd_p/4c68caab-0f43-4f79-ac20-af7338534a3b/?target=fh-16-xgk_hvimob_32281118135543q-feykn&end=end
58,整租,南山西丽茶光地铁站精装电梯公寓招租,1室0厅1卫,20㎡,None,西丽,个人,1600,http://short.58.com/zd_p/2ed5e953-7a81-426c-99ad-c82da2a6f32e/?target=fh-16-xgk_hvimob_32321621578846q-feykn&end=end
58,单间,大冲三房阳光带飘窗出租、厨房可做饭、家私全齐领包入住,主卧(3室),125㎡,大冲都市花园,大冲,个人,880,http://short.58.com/zd_p/543c8258-aa48-4ebc-bc9f-2b7c1653f470/?target=fh-16-xgk_ephv_32210384417008q-feykn&end=end
58,整租,3室2厅 90平米 豪华装修 押二付一,3室2厅2卫,90㎡,香格名苑,前海,个人,7000,http://short.58.com/zd_p/5296bfb5-ef6f-40dc-a46b-2ad273db6ce3/?target=fh-16-xgk_hvimob_35948653332848q-feykn&end=end
58,单间,南山前海诺德假日花园 3室2厅 次卧 朝北 中等装修,次卧(3室),15㎡,诺德假日花园,前海,个人,1350,http://short.58.com/zd_p/1ec949da-bfb9-416c-a3c9-880d3bacbbe3/?target=fh-16-xgk_ephv_70225393113830q-feykn&end=end
58,整租,世纪村 3室2厅2卫,3室2厅2卫,160㎡,世纪村,华侨城,个人,18000,http://short.58.com/zd_p/67017895-b181-476e-ae14-ce2f00c3e082/?target=fh-16-xgk_hvimob_84431077868422q-feykn&end=end
58,整租,业主直租南山前海路鸿海大厦 2室1厅 80平米 押二,2室1厅1卫,80㎡,None,前海,个人,5300,http://sz.58.com/zufang/24173288785978x.shtml
58,单间,单房公寓 36平1室1卫1厨1阳台 家电家具齐全,隔断(1室),36㎡,None,前海,个人,2850,http://sz.58.com/hezu/22542545626912x.shtml
58,整租,南山中心区海雅百货对面 1室1厅56平米 中等装修,1室1厅1卫,57㎡,None,海王大厦,个人,4400,http://sz.58.com/zufang/22824099858334x.shtml
58,单间,南山区、南油 5室1厅 次卧 朝东北 中等装修,次卧(4室以上),18㎡,None,南油,个人,1150,http://sz.58.com/hezu/20470411389576x.shtml
58,整租,业主直租/二号地铁海月站/全套家私家电两室一厅,2室1厅1卫,62㎡,半岛花园A区,后海,个人,4400,http://sz.58.com/zufang/19311807611017x.shtml
58,整租,万象新园、精装大三房、家电齐、业主直接出租,3室2厅1卫,96㎡,万象新园,桂庙路口,个人,6500,http://sz.58.com/zufang/17818260728326x.shtml
58,整租,中山苑 2室2厅1卫,2室2厅1卫,80㎡,None,南头,个人,4500,http://sz.58.com/zufang/24394565969976x.shtml
58,整租,南山恒立心海湾花园 3室2厅1卫,3室2厅1卫,93㎡,None,前海,个人,5200,http://sz.58.com/zufang/25247050500940x.shtml
58,整租,1室1厅 30平米 中等装修 押二付一,1室1厅1卫,30㎡,None,西丽,个人,2200,http://sz.58.com/zufang/23310533598495x.shtml
58,单间,华侨城华侨城芳华苑 4室2厅 次卧,次卧(4室),15㎡,None,华侨城,个人,2200,http://sz.58.com/hezu/20440687868549x.shtml
58,单间,登良花园 2室1厅2卫 次卧出租,次卧(2室),30㎡,None,中心区,个人,800,http://sz.58.com/hezu/23900553381430x.shtml
58,整租,前海雷圳碧榕湾 1室1厅41平米 简单装修 押二付一,1室1厅1卫,41㎡,雷圳0755,前海,个人,3300,http://sz.58.com/zufang/21619405935396x.shtml
58,整租,西丽百旺大厦 3室2厅110平米 精装修 押二付一,3室2厅2卫,110㎡,百旺大厦,西丽,个人,3900,http://sz.58.com/zufang/21786892640417x.shtml
58,单间,南山东滨路城市山林 三房次卧出租限女生,次卧(3室),20㎡,None,南油,个人,2500,http://sz.58.com/hezu/23171305838500x.shtml
58,整租,金海岸大厦 1室1厅1卫,1室1厅1卫,39㎡,None,南油,个人,3900,http://sz.58.com/zufang/25853595697963x.shtml
58,单间,白石洲 二房二厅中单间招合租,次卧(2室),12㎡,None,白石洲,个人,1000,http://sz.58.com/hezu/26100072696258x.shtml
58,单间,御海新苑一期 4室2厅 次卧 朝北 精装修,次卧(4室),10㎡,None,南头,个人,2000,http://sz.58.com/hezu/22839090234531x.shtml
58,整租,南山区桃源片区海龙苑精装大三房 3室2厅2卫,3室2厅2卫,113㎡,None,桃源村,个人,6500,http://sz.58.com/zufang/25594214609850x.shtml
