源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,万科金域缇香二期 4室2厅2卫,4室2厅2卫,89㎡,None,坪山,个人,2800,http://sz.58.com/zufang/23469933080223x.shtml
58,整租,东津名座 1室2厅1卫,1室2厅1卫,47㎡,None,坪山,个人,2000,http://sz.58.com/zufang/24199677425589x.shtml
58,整租,东津名座 1室1厅1卫,1室1厅1卫,48㎡,None,坪山,个人,1800,http://sz.58.com/zufang/29989734472627x.shtml
58,整租,山吓巷-飞东 1室0厅1卫,1室0厅1卫,25㎡,None,坪山,个人,300,http://sz.58.com/zufang/29938453564716x.shtml
58,整租,倚湖居 3室2厅1卫,3室2厅1卫,94㎡,None,坪山,个人,2400,http://sz.58.com/zufang/29643455719098x.shtml
58,整租,坪山新区坪山深业东城国际 3室2厅 88平米 精装修,3室2厅1卫,88㎡,深业东城国际,坪山,个人,2600,http://sz.58.com/zufang/29774596687432x.shtml
58,整租,大东城 3室2厅1卫,3室2厅1卫,80㎡,大东城,坪山,个人,2800,http://sz.58.com/zufang/30045320530749x.shtml
58,整租,德洲城 1室0厅 34平米 精装修 押二付一,1室0厅1卫,34㎡,德洲城,坪山新区周边,个人,700,http://sz.58.com/zufang/28975346345924x.shtml
58,整租,京基御景印象 1室1厅1卫,1室1厅1卫,45㎡,京基御景印象,坪山,个人,1800,http://sz.58.com/zufang/30011220009033x.shtml
58,整租,深业东城御园 3室2厅2卫,3室2厅2卫,89㎡,None,坑梓,个人,2600,http://sz.58.com/zufang/30001243101875x.shtml
58,整租,碧桂园龙熹山 4室2厅2卫,4室2厅2卫,126㎡,None,坪山新区周边,个人,3800,http://sz.58.com/zufang/30034240862544x.shtml
58,整租,吉祥苑 4室1厅2卫,4室1厅2卫,112㎡,None,坪山新区周边,个人,1500,http://sz.58.com/zufang/29427067768782x.shtml
58,整租,中粮一品澜山 3室2厅1卫,3室2厅1卫,85㎡,中粮一品澜山花园,坑梓,个人,2300,http://sz.58.com/zufang/30024892969671x.shtml
58,单间,燕子岭小区 1室1卫 男女不限,主卧(1室),35㎡,None,坪山新区周边,个人,300,http://sz.58.com/hezu/30044854677943x.shtml
58,整租,金田风华苑 2室2厅1卫,2室2厅1卫,85㎡,金田风华苑,坑梓,个人,2000,http://sz.58.com/zufang/30005831802180x.shtml
58,整租,金众蓝钻风景花园 1室0厅1卫,1室0厅1卫,37㎡,None,坪山,个人,1400,http://sz.58.com/zufang/29946364642347x.shtml
58,整租,京基御景印象三期 3室2厅2卫,3室2厅2卫,89㎡,None,坪山,个人,2200,http://sz.58.com/zufang/30034629272143x.shtml
58,整租,中粮一品澜山花园 3室2厅2卫,3室2厅2卫,87㎡,None,坑梓,个人,2800,http://sz.58.com/zufang/30023109854415x.shtml
58,整租,坑梓影剧院旁文昌椰子鸡三楼 1室0厅1卫,1室0厅1卫,20㎡,None,坑梓,个人,250,http://sz.58.com/zufang/29955728813483x.shtml
