源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,大鹏新区佳兆业广场 精装修1房1厅出租,1室1厅1卫,45㎡,大鹏佳兆业广场,大鹏新区周边,个人,2500,http://sz.58.com/zufang/29496329252931x.shtml
58,整租,旱塘仔 7室2厅5卫,7室2厅5卫,300㎡,None,大鹏,个人,6000,http://sz.58.com/zufang/30036411929925x.shtml
58,整租,大鹏下沙新村山海苑 2室2厅1卫,2室2厅1卫,70㎡,None,大鹏,个人,2200,http://sz.58.com/zufang/29807079822015x.shtml
58,整租,大鹏新区大鹏新区周边承翰半山海 1室1厅 39平米,1室1厅1卫,39㎡,承翰半山海,大鹏新区周边,个人,2000,http://sz.58.com/zufang/28399909601738x.shtml
58,整租,大鹏滨海盛世名苑 3室2厅2卫,3室2厅2卫,86㎡,None,大鹏,个人,3000,http://sz.58.com/zufang/29727357256110x.shtml
58,整租,鹏海苑 1室1厅1卫,1室1厅1卫,50㎡,None,大鹏,个人,1700,http://sz.58.com/zufang/30034070231237x.shtml
58,整租,高岭村 5室1厅1卫,5室1厅1卫,360㎡,None,南澳,个人,10000,http://sz.58.com/zufang/29592277524025x.shtml
58,整租,梅沙湾阳光海景度假房承翰半山海花 1室1厅1卫,1室1厅1卫,40㎡,None,葵涌,个人,2500,http://sz.58.com/zufang/29990841167822x.shtml
58,整租,大鹏中心下沙新村山海苑 2室1厅1卫,2室1厅1卫,65㎡,None,大鹏,个人,1800,http://sz.58.com/zufang/29992280556216x.shtml
58,整租,承翰半山海 1室1厅1卫,1室1厅1卫,37㎡,None,大鹏新区,个人,2600,http://sz.58.com/zufang/29835466043198x.shtml
58,单间,鹏城花园 1室 一卫男女不限,主卧(1室),38㎡,None,大鹏,个人,1200,http://sz.58.com/hezu/29448079490474x.shtml
58,单间,葵涌汽车站公交站边上单门独户公寓单房 1室1厅1卫,主卧(1室),25㎡,None,葵涌,个人,350,http://sz.58.com/hezu/30027291804842x.shtml
58,整租,葵涌汽车站附近 1室0厅1卫,1室0厅1卫,30㎡,None,葵涌,个人,300,http://sz.58.com/zufang/30012000604209x.shtml
58,整租,东丽观海山庄 1室1厅1卫,1室1厅1卫,46㎡,None,葵涌,个人,700,http://sz.58.com/zufang/30026582459953x.shtml
58,整租,布新统建楼 3室1厅2卫,3室1厅2卫,92㎡,None,大鹏,个人,2200,http://sz.58.com/zufang/29980579489483x.shtml
58,整租,KPR佳兆业广场 3室2厅2卫,3室2厅2卫,94㎡,None,大鹏,个人,4500,http://sz.58.com/zufang/30012893691450x.shtml
58,单间,限单身女性合租、价格可商量,主卧(3室),30㎡,None,大鹏,个人,500,http://sz.58.com/hezu/29539325031111x.shtml
58,整租,大小梅沙葵涌御海湾山庄 2室1厅1卫,2室1厅1卫,55㎡,None,葵涌,个人,1350,http://sz.58.com/zufang/30014147713099x.shtml
58,整租,深圳别样生活海滨度假别墅 1室1厅1卫,1室1厅1卫,45㎡,None,葵涌,个人,750,http://sz.58.com/zufang/30014067320250x.shtml
58,整租,鹏海苑 2室1厅1卫,2室1厅1卫,74㎡,None,大鹏,个人,2200,http://sz.58.com/zufang/29957438849725x.shtml
58,整租,南澳新圩客栈转让、五层700平方 1室1厅1卫,1室1厅1卫,700㎡,None,南澳,个人,14000,http://sz.58.com/zufang/29748516401475x.shtml
58,整租,佳兆业假日广场 1室1厅1卫,1室1厅1卫,46㎡,None,大鹏,个人,2300,http://sz.58.com/zufang/29430183148333x.shtml
58,整租,大鹏新区大鹏新区周边承翰半山海 1室1厅 37平米,1室1厅1卫,37㎡,承翰半山海,大鹏新区周边,个人,1800,http://sz.58.com/zufang/29615526274238x.shtml
58,整租,大鹏新区南澳大鹏新区南澳 9室5厅 520平米 精装,9室5厅5卫,520㎡,None,南澳,个人,12000,http://sz.58.com/zufang/29889992725326x.shtml
58,整租,大鹏新区南澳大鹏新区南澳 9室5厅 520平米 精装,9室5厅5卫,520㎡,None,南澳,个人,12000,http://sz.58.com/zufang/29889903103035x.shtml
58,整租,大鹏山庄 3室2厅 110平米 精装修 押二付一,3室2厅1卫,110㎡,大鹏山庄,大鹏,个人,1800,http://sz.58.com/zufang/14475251766407x.shtml
58,整租,鹏海苑小区 2室1厅1卫,2室1厅1卫,70㎡,None,大鹏,个人,2000,http://sz.58.com/zufang/29991723743030x.shtml
58,整租,大鹏KPR佳 1室0厅1卫,1室0厅1卫,50㎡,None,大鹏,个人,2000,http://sz.58.com/zufang/29948578772393x.shtml
58,整租,水头村 4室1厅1卫,4室1厅1卫,120㎡,None,大鹏,个人,1500,http://sz.58.com/zufang/29990234097845x.shtml
58,整租,风球山小区 3室1厅1卫,3室1厅1卫,86㎡,None,大鹏,个人,1800,http://sz.58.com/zufang/29908123480513x.shtml
58,整租,KPR佳兆业广场 1室0厅1卫,1室0厅1卫,50㎡,None,大鹏,个人,1750,http://sz.58.com/zufang/29935041353806x.shtml
