源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,固戍南昌公园 1室0厅1卫,1室0厅1卫,23㎡,None,西乡,个人,800,http://short.58.com/zd_p/c903d726-c3ef-44c8-9f41-578303349cd6/?target=fh-16-xgk_hvimob_84480500693630q-feykn&end=end
58,整租,宝安西乡坪洲渔业新村精装公寓招租,1室0厅1卫,20㎡,None,西乡,个人,1300,http://short.58.com/zd_p/ae64dca6-d324-4afd-b1a3-15b1e92b0cb4/?target=fh-16-xgk_hvimob_32776019068119q-feykn&end=end
58,整租,中信领航 4室2厅2卫,4室2厅2卫,136㎡,中信领航,西乡,个人,4600,http://short.58.com/zd_p/5909f7d1-882f-40a1-a1da-4a4e9f2194d9/?target=fh-16-xgk_hvimob_84489591813860q-feykn&end=end
58,整租,翻身地铁口泰富酒店 二楼公寓1室1厅1卫、二房一厅直,1室1厅1卫,35㎡,None,翻身路,个人,1880,http://short.58.com/zd_p/d6d13227-3efe-4d44-b392-f94002baa3c4/?target=fh-16-xgk_hvimob_39652401404713q-feykn&end=end
58,整租,西乡盐田下三村 1室0厅1卫,1室0厅1卫,20㎡,None,西乡,个人,1000,http://short.58.com/zd_p/7d7b9da0-9f1e-49f3-85d2-cc846413960b/?target=fh-16-xgk_hvimob_32692725767901q-feykn&end=end
58,整租,地铁站A出口 1室0厅1卫,1室0厅1卫,32㎡,None,西乡,个人,800,http://short.58.com/zd_p/7a90dece-d795-4ae2-87da-a414c402a576/?target=fh-16-xgk_hvimob_84438388683170q-feykn&end=end
58,整租,宝安西乡坪洲地铁站A出口附近二室一厅出租 家电家私齐,2室1厅1卫,49㎡,径贝新村,西乡,个人,2300,http://short.58.com/zd_p/63669da6-b7bb-4ee5-aea2-77f040fdf0de/?target=fh-16-xgk_hvimob_32273060332318q-feykn&end=end
58,整租,西乡地铁站 青年公寓出租 家电全齐 业主直租,5室2厅3卫,238㎡,中熙香缇湾花园,西乡,个人,500,http://short.58.com/zd_p/59c0c486-dc09-4d2b-bfed-fdf2055d54e6/?target=fh-16-xgk_hvimob_32667424045459q-feykn&end=end
58,整租,深航假日名居 1室0厅0卫,1室0厅0卫,20㎡,None,宝安中心区,个人,1400,http://short.58.com/zd_p/fe085f5d-b2fe-4602-92f7-decdc7c12a73/?target=fh-16-xgk_hvimob_32243050949077q-feykn&end=end
58,整租,固戍（地铁口 1室0厅1卫,1室0厅1卫,28㎡,None,西乡,个人,900,http://short.58.com/zd_p/779450ce-8c34-42b7-856a-e6accff71ba7/?target=fh-16-xgk_hvimob_84438137010141q-feykn&end=end
58,整租,固戍（地铁口 1室0厅1卫,1室0厅1卫,32㎡,None,西乡,个人,1000,http://short.58.com/zd_p/d06d4b23-5c73-4238-adbe-a52dc22047f5/?target=fh-16-xgk_hvimob_84431785042728q-feykn&end=end
58,整租,地铁站160 1室0厅1卫,1室0厅1卫,32㎡,None,西乡,个人,800,http://short.58.com/zd_p/837cd725-48e8-42d9-b169-fca73f456ca2/?target=fh-16-xgk_hvimob_84438853705137q-feykn&end=end
58,整租,翻身地铁站精装公寓大阳台出租,1室0厅1卫,26㎡,None,宝安中心区,个人,1880,http://short.58.com/zd_p/a5374fda-c2dd-4289-a3da-dc8793a79ad5/?target=fh-16-xgk_hvimob_32016144902810q-feykn&end=end
58,整租,财富港 精装修、全新家具 拎包入住,1室1厅1卫,40㎡,None,宝安,个人,3400,http://short.58.com/zd_p/b5ac339e-ab75-4115-ad72-48a321c781ab/?target=fh-16-xgk_hvimob_31277356003280q-feykn&end=end
58,整租,安源居 3室2厅1卫,3室2厅1卫,85㎡,None,西乡,个人,3800,http://short.58.com/zd_p/244b0a5b-ceb6-4ea4-a624-c2981f4949ac/?target=fh-16-xgk_hvimob_32153792034382q-feykn&end=end
58,整租,宝安西乡坪洲地铁站A出口附近三室一厅出租 家电家私齐,3室1厅1卫,65㎡,径贝新村,西乡,个人,2800,http://short.58.com/zd_p/d1215b59-04d4-4277-b831-bf4bf31f51ee/?target=fh-16-xgk_hvimob_32273922383166q-feykn&end=end
