源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,安鸿峰景苑 3室2厅1卫,3室2厅1卫,89㎡,None,丹竹头,个人,3800,http://short.58.com/zd_p/8dab8d99-b59a-40bf-afa5-37dc9be011b4/?target=fh-16-xgk_hvimob_32278610299828q-feykn&end=end
58,整租,布龙城 1室1厅1卫,1室1厅1卫,45㎡,布龙城,布吉街,个人,1550,http://short.58.com/zd_p/a53f8ebd-0cdf-43f6-a8d4-8d477744e523/?target=fh-16-xgk_hvimob_30296817161886q-feykn&end=end
58,整租,布吉地铁站A出口旁 2室1厅1卫,2室1厅1卫,65㎡,None,布吉周边,个人,1499,http://short.58.com/zd_p/696e3679-ad89-4c81-a652-fc622f9ed255/?target=fh-16-xgk_hvimob_32219427426281q-feykn&end=end
58,整租,布吉大芬桂芳园八期 3室2厅 98平 精装修舒适家居,3室2厅1卫,98㎡,桂芳园八期,大芬村,个人,4800,http://sz.58.com/zufang/19043439955331x.shtml
58,单间,半岛苑 2室1厅 次卧 朝西 精装修,次卧(2室),20㎡,None,布吉街,个人,1300,http://sz.58.com/hezu/23587737117348x.shtml
58,整租,龙珠花园 2室2厅1卫,2室2厅1卫,61㎡,None,布吉周边,个人,3200,http://sz.58.com/zufang/24341568111672x.shtml
58,整租,布吉街布吉金运家园 3室2厅101平米 精装修 押一,3室2厅2卫,101㎡,None,布吉街,个人,3000,http://sz.58.com/zufang/17882078008451x.shtml
58,单间,凤凰山庄20 4室 出租 简单装修,主卧(1室),12㎡,None,布吉街,个人,800,http://sz.58.com/hezu/24361545392179x.shtml
58,整租,中兆花园一楼 3室1厅 68平米 简单装修 押二付三,3室1厅1卫,68㎡,None,丹竹头,个人,3200,http://sz.58.com/zufang/24128174868024x.shtml
58,整租,布吉宝岭花园 3室2厅1卫,3室2厅1卫,95㎡,None,丹竹头,个人,3500,http://sz.58.com/zufang/20014901666310x.shtml
58,整租,佳兆业可园北区 2室2厅1卫,2室2厅1卫,80㎡,None,木棉湾,个人,3800,http://sz.58.com/zufang/30045980269378x.shtml
58,整租,宝岭花园 3室2厅1卫,3室2厅1卫,94㎡,None,丹竹头,个人,3400,http://sz.58.com/zufang/29872254123723x.shtml
58,整租,南洋花园 2室2厅1卫,2室2厅1卫,73㎡,None,南岭,个人,2600,http://sz.58.com/zufang/29981947127101x.shtml
58,整租,布吉佳兆业大都汇 2室2厅1卫,2室2厅1卫,80㎡,None,布吉,个人,4700,http://sz.58.com/zufang/29970738002614x.shtml
