源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,盐田小梅沙万科东海岸四 4室2厅 245平米 豪华装,4室2厅4卫,245㎡,万科东海岸四期,小梅沙,个人,18000,http://short.58.com/zd_p/f827bda0-dd57-4466-9d6a-320245ef1b0a/?target=fh-16-xgk_hvimob_36326679759981q-feykn&end=end
58,单间,沙头角梧桐山 3室1厅 次卧,次卧(3室),25㎡,None,沙头角,个人,850,http://sz.58.com/hezu/19616649097474x.shtml
58,整租,沙头角最便宜三房 海涛花园 3室2厅 押一付一 免,3室2厅1卫,60㎡,海涛花园,沙头角,个人,2600,http://sz.58.com/zufang/25578794249642x.shtml
58,整租,房东直租大梅沙云顶天海拎包入住 2室1厅1卫,2室1厅1卫,46㎡,None,大梅沙,个人,2600,http://sz.58.com/zufang/21190537640608x.shtml
58,整租,沙头角体育馆小区大单房出租带空调大床家私家电齐拎包入,3室2厅1卫,120㎡,None,沙头角,个人,850,http://sz.58.com/zufang/24416866610235x.shtml
58,整租,沙头角东和大厦 4室1厅（中介勿扰、谢谢）,4室1厅1卫,113㎡,None,沙头角,个人,5500,http://sz.58.com/zufang/29331561048389x.shtml
58,整租,业主自己放租、免、 月租2500元。,1室0厅1卫,49.98㎡,None,沙头角,个人,2500,http://sz.58.com/zufang/23634732182177x.shtml
58,单间,【业主】 盐田沙头角高品质合租寓所 全新装修 家电齐,主卧(4室以上),20㎡,桐辉居,沙头角,个人,1300,http://sz.58.com/hezu/27218384339519x.shtml
58,单间,桐辉居高品质白领公寓 沙头角隧道口 家电齐全拎包入住,主卧(4室以上),15㎡,桐辉居,沙头角,个人,1300,http://sz.58.com/hezu/29717165610186x.shtml
58,整租,盐田沙头角中海半山溪谷 3室2厅 106平米 简单装,3室2厅1卫,106㎡,中海半山溪谷,沙头角,个人,4200,http://sz.58.com/zufang/25138036118863x.shtml
58,单间,盐田沙头角太平洋住宅区3室2厅出租主卧带家私家电空调,主卧(3室),20㎡,太平洋住宅区,沙头角,个人,850,http://sz.58.com/hezu/29719460918220x.shtml
58,单间,暗径新村 2室1厅1卫,次卧(2室),60㎡,None,沙头角,个人,1050,http://sz.58.com/hezu/29674331856327x.shtml
58,整租,玖湾天域 1室1厅1卫,1室1厅1卫,45㎡,None,盐田,个人,4000,http://sz.58.com/zufang/30036339804233x.shtml
58,整租,爱琴海 1室1厅1卫,1室1厅1卫,65㎡,None,大梅沙,个人,3200,http://sz.58.com/zufang/29845076242236x.shtml
58,整租,盐田-大梅沙海语东园2室2厅1卫3800元,2室2厅1卫,None,海语东园,大梅沙,个人,3800,http://sz.58.com/zufang/29957138447813x.shtml
58,单间,盐田沙头角公园路三家店 3室1厅1卫 男女不限,次卧(3室),22㎡,None,沙头角,个人,600,http://sz.58.com/hezu/27271144342345x.shtml
58,单间,单间出租男女不限空调洗衣机热水器都有,主卧(3室),15㎡,None,大梅沙,个人,1500,http://sz.58.com/hezu/30006505731268x.shtml
58,整租,盐田小梅沙万科东海岸一 3室2厅 118平米 精装修,3室2厅2卫,118㎡,万科东海岸一期,小梅沙,个人,5800,http://sz.58.com/zufang/24442313974199x.shtml
58,整租,御达华庭 2室1厅1卫,2室1厅1卫,72㎡,None,盐田,个人,3200,http://sz.58.com/zufang/30035476643145x.shtml
58,单间,东海丽景花园 2室2厅1卫 男女不限,主卧(2室),30㎡,None,盐田,个人,1900,http://sz.58.com/hezu/29756952010543x.shtml
58,整租,昊海君悦 3室2厅2卫,3室2厅2卫,145㎡,None,沙头角,个人,4500,http://sz.58.com/zufang/29860435871429x.shtml
58,整租,业主放租沙头角-盐田蓝田壹站华苑1室1厅1卫2600,1室1厅1卫,None,蓝田壹站华苑,沙头角,个人,2600,http://sz.58.com/zufang/30025502751308x.shtml
58,单间,乐群小学旁边 3室1厅1卫 限女生,主卧(3室),20㎡,None,盐田周边,个人,600,http://sz.58.com/hezu/29918622602414x.shtml
58,单间,盐田沙头角鹏湾一村 3室2厅 主卧 朝南 简单装修,主卧(3室),12㎡,None,沙头角,个人,850,http://sz.58.com/hezu/29724483787436x.shtml
58,单间,盐田沙头角盐田区沙头角 3室2厅 次卧 朝东南 简单,次卧(3室),11㎡,None,沙头角,个人,850,http://sz.58.com/hezu/29978871613633x.shtml
58,单间,单房出租、单人入住1000、包水电,主卧(3室),12㎡,None,沙头角,个人,1000,http://sz.58.com/hezu/29736890274242x.shtml
58,单间,暗径新村沙头角-盐田次卧900元一个月,次卧(3室),10㎡,暗径新村,沙头角,个人,900,http://sz.58.com/hezu/30004258241347x.shtml
58,单间,盐田 沙头角 女生上下铺,主卧(2室),67㎡,None,沙头角,个人,300,http://sz.58.com/hezu/29905005672247x.shtml
58,整租,心海伽蓝 1室1厅1卫,1室1厅1卫,42㎡,心海伽蓝,小梅沙,个人,1000,http://sz.58.com/zufang/30034637173052x.shtml
58,整租,西坑林展·街 1室1厅1卫,1室1厅1卫,40㎡,None,盐田周边,个人,800,http://sz.58.com/zufang/30034621023038x.shtml
58,整租,盐田东海丽景花园 2室2厅1卫,2室2厅1卫,68㎡,None,盐田,个人,3300,http://sz.58.com/zufang/29818297441579x.shtml
58,整租,浩海明珠 3室1厅1卫,3室1厅1卫,80㎡,None,盐田,个人,4500,http://sz.58.com/zufang/29992853663946x.shtml
58,整租,三十六小区 1室1厅1卫,1室1厅1卫,58㎡,三十六小区,沙头角,个人,750,http://sz.58.com/zufang/30034383969990x.shtml
58,单间,桥东西区 4室2厅1卫 限女生,次卧(4室),10㎡,None,沙头角,个人,800,http://sz.58.com/hezu/29393805959490x.shtml
58,整租,天麓一区 1室1厅1卫,1室1厅1卫,35㎡,天麓一区,大梅沙,个人,730,http://sz.58.com/zufang/30034296255926x.shtml
58,整租,叶屋村 1室0厅1卫,1室0厅1卫,10㎡,None,盐田,个人,1200,http://sz.58.com/zufang/29960376050253x.shtml
58,整租,盐田-盐田东海岸天利明园1室1厅1卫2000元,1室1厅1卫,None,天利明园大厦,盐田,个人,2000,http://sz.58.com/zufang/27283634245063x.shtml
58,整租,盐田沙头角 沙头角上东湾 3室 2厅 120平米豪华,3室2厅2卫,120㎡,None,沙头角,个人,7200,http://sz.58.com/zufang/29073921643338x.shtml
58,整租,东埔福苑 1室0厅1卫,1室0厅1卫,28㎡,东埔福苑,沙头角,个人,1700,http://sz.58.com/zufang/30034089301964x.shtml
58,整租,大梅沙万科东海岸 2室2厅 84平米 高档社区精装修,2室2厅1卫,84㎡,万科东海岸一期,大梅沙,个人,4500,http://sz.58.com/zufang/29763419655478x.shtml
58,整租,太平洋住宅区 3室2厅1卫,3室2厅1卫,120㎡,太平洋住宅区,沙头角,个人,850,http://sz.58.com/zufang/29972771390260x.shtml
58,整租,梧桐山隧道口十三中队新楼 1室1厅1卫,1室1厅1卫,42㎡,None,盐田,个人,1700,http://sz.58.com/zufang/30023146109750x.shtml
58,整租,诗宁别墅 2室2厅1卫,2室2厅1卫,80㎡,None,沙头角,个人,3200,http://sz.58.com/zufang/29956585376182x.shtml
58,整租,暗径新村 2室1厅1卫,2室1厅1卫,80㎡,None,沙头角,个人,2800,http://sz.58.com/zufang/30033508818758x.shtml
58,整租,海山道1号 2室2厅 80平米 精装修 押二付二,2室2厅1卫,80㎡,海山道1号,沙头角,个人,5800,http://sz.58.com/zufang/29651946592942x.shtml
58,整租,上东湾 2室1厅1卫,2室1厅1卫,68㎡,None,沙头角,个人,4800,http://sz.58.com/zufang/29815689099308x.shtml
58,整租,碧桐湾 1室0厅1卫,1室0厅1卫,31㎡,None,沙头角,个人,2400,http://sz.58.com/zufang/30008217920438x.shtml
58,整租,盐田畔山庭苑 3室2厅2卫,3室2厅2卫,100㎡,None,盐田,个人,4200,http://sz.58.com/zufang/29342888629417x.shtml
58,整租,盐田东海丽景旁 1室1厅1卫,1室1厅1卫,45㎡,None,盐田,个人,2200,http://sz.58.com/zufang/30014309265586x.shtml
58,单间,海都花园 3室2厅1卫 男女不限,主卧(3室),19㎡,None,沙头角,个人,1000,http://sz.58.com/hezu/29457963596218x.shtml
58,整租,蓝田壹站华苑 2室1厅1卫,2室1厅1卫,52㎡,None,沙头角,个人,3300,http://sz.58.com/zufang/29923268292800x.shtml
58,单间,盐田沙头角翠景花园 3室2厅 次卧 朝南北 精装修,次卧(3室),8㎡,翠景花园(盐田),沙头角,个人,900,http://sz.58.com/hezu/29365210524344x.shtml
58,单间,盐田沙头角 鹏湾一村 3室 2厅 次卧,次卧(3室),10㎡,None,沙头角,个人,900,http://sz.58.com/hezu/28672973401773x.shtml
58,整租,盐田-盐田裕达华庭3室1厅2卫3300元,3室1厅2卫,None,裕达华庭,盐田,个人,3300,http://sz.58.com/zufang/30032569276585x.shtml
58,整租,碧桐湾 1室1厅1卫,1室1厅1卫,30㎡,碧桐湾,沙头角,个人,2200,http://sz.58.com/zufang/30017073533007x.shtml
58,单间,龙嘉首饰宿舍旁 3室1厅1卫 男女不限,次卧(3室),25㎡,None,沙头角,个人,850,http://sz.58.com/hezu/30013102782915x.shtml
58,整租,中青一路畔山庭苑 2室2厅1卫,2室2厅1卫,80㎡,None,盐田,个人,3300,http://sz.58.com/zufang/30017948042282x.shtml
58,单间,盐田盐田东港印象 4室1厅 次卧 朝东 简单装修,次卧(4室),20㎡,花样年花港,盐田,个人,1000,http://sz.58.com/hezu/27172279678139x.shtml
58,整租,春天海 1室1厅1卫,1室1厅1卫,45㎡,春天海,盐田,个人,1300,http://sz.58.com/zufang/30007589435714x.shtml
58,单间,生活便利、拎包入住,次卧(2室),12㎡,None,沙头角,个人,800,http://sz.58.com/hezu/29403669660100x.shtml
58,整租,上东湾雅居 1室1厅1卫,1室1厅1卫,46㎡,None,沙头角,个人,700,http://sz.58.com/zufang/30028820967337x.shtml
58,整租,东部华侨城天麓九区 1室1厅1卫,1室1厅1卫,46㎡,None,大梅沙,个人,600,http://sz.58.com/zufang/30028593145780x.shtml
58,整租,东部阳光花园 3室2厅2卫,3室2厅2卫,90㎡,None,沙头角,个人,4600,http://sz.58.com/zufang/29886101428649x.shtml
58,单间,金水湾 2室1厅1卫 限女生,次卧(2室),60㎡,None,盐田,个人,1200,http://sz.58.com/hezu/30005422975297x.shtml
58,单间,鹏湾一村 3室1厅1卫 限女生,次卧(3室),90㎡,None,沙头角,个人,950,http://sz.58.com/hezu/30026832596162x.shtml
58,整租,沙头角新世界倚山花 3室2厅 豪华装修 拎包入住 免,3室2厅1卫,89㎡,新世界倚山花园(公寓),沙头角,个人,5000,http://sz.58.com/zufang/29329443507130x.shtml
58,单间,山泉小区沙头角-盐田主卧1000元/月（合租）,主卧(3室),88㎡,山泉小区,沙头角,个人,1000,http://sz.58.com/hezu/29956590181548x.shtml
58,整租,华侨新村 3室2厅1卫,3室2厅1卫,90㎡,None,沙头角,个人,4500,http://sz.58.com/zufang/29951126364867x.shtml
58,整租,金水湾御园 1室1厅1卫,1室1厅1卫,42㎡,金水湾御园,沙头角,个人,1000,http://sz.58.com/zufang/30025537312459x.shtml
58,整租,沙头角海关生活区 1室1厅1卫,1室1厅1卫,30㎡,None,沙头角,个人,1500,http://sz.58.com/zufang/30025420492993x.shtml
58,单间,花样年华港 2室1厅1卫 男女不限,主卧(2室),20㎡,None,盐田周边,个人,1300,http://sz.58.com/hezu/30024843117635x.shtml
