源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,中国茶宫茗香苑 1室1厅1卫,1室1厅1卫,45㎡,None,景田,个人,2800,http://short.58.com/zd_p/43953536-ede0-4264-b7a6-d086072787ea/?target=fh-16-xgk_hvimob_32936125000360q-feykn&end=end
58,单间,小区电梯房、家电家私齐全、拎包入住、离香梅地铁站20,主卧(4室),16㎡,市政大院,景田,个人,1690,http://short.58.com/zd_p/26076fc1-dcfb-477f-a6df-87089259a065/?target=fh-16-xgk_ephv_32624853387745q-feykn&end=end
58,整租,莲丰花园 2室1厅 70平米 豪华装修 面议,2室1厅1卫,70㎡,None,莲花北村,个人,5300,http://short.58.com/zd_p/3c4ae51d-9dbc-4569-919d-8e54331f591e/?target=fh-16-xgk_hvimob_32931424335929q-feykn&end=end
58,整租,房东直接出租沙尾地铁口全新精装公寓、家私家电齐全、免,1室0厅1卫,None,None,沙尾,个人,1450,http://short.58.com/zd_p/9d134dc5-f386-4192-8099-7a2574bb424f/?target=fh-16-xgk_hvimob_32644463988754q-feykn&end=end
58,整租,春晖苑 1室1厅1卫,1室1厅1卫,40㎡,春晖苑,中心区,个人,3800,http://short.58.com/zd_p/89e322c4-31ef-445f-a401-2baec288865f/?target=fh-16-xgk_hvimob_84484703728693q-feykn&end=end
58,整租,振业翠海花园 4室2厅2卫,4室2厅2卫,194㎡,None,香蜜湖,个人,25000,http://short.58.com/zd_p/56b53c32-2b1a-4b92-93fa-f1b61028333c/?target=fh-16-xgk_hvimob_32268724073954q-feykn&end=end
58,单间,下沙七坊24号 1室1卫 男女不限,主卧(1室),25㎡,None,下沙,个人,1300,http://short.58.com/zd_p/dbf31d16-9258-42e3-86b5-8c657ef448c4/?target=fh-16-xgk_ephv_32202452648197q-feykn&end=end
58,整租,福田景田万托家园 2室2厅 78平米 精装修 押二付,2室2厅1卫,78㎡,万托家园,景田,个人,6200,http://short.58.com/zd_p/9840aa9e-8e40-4542-b0bf-c742f3e86a3c/?target=fh-16-xgk_hvimob_32243890518317q-feykn&end=end
58,整租,中国茶宫茗香 1室0厅1卫,1室0厅1卫,40㎡,中国茶宫茗香苑,景田,个人,2600,http://short.58.com/zd_p/ee7ddf4f-5ec3-417f-aa77-fecc54a56b48/?target=fh-16-xgk_hvimob_84481040197489q-feykn&end=end
58,单间,景田、香梅地铁口合租大单间转租！目前全部女生！,主卧(4室),21㎡,市政大院,景田,个人,1800,http://short.58.com/zd_p/8dde6e27-bdba-43fb-86e9-62ae595b94f3/?target=fh-16-xgk_ephv_84447871759109q-feykn&end=end
58,整租,个人、伟柏花园 精装修南向安静3房电梯,3室2厅1卫,66㎡,None,皇岗,个人,5300,http://short.58.com/zd_p/1ab8f35e-c35a-4183-8fd4-00819f5442f1/?target=fh-16-xgk_hvimob_30508019958629q-feykn&end=end
58,整租,中广核大厦 1室1厅1卫,1室1厅1卫,300㎡,None,中心区,个人,69000,http://short.58.com/zd_p/a15af7b8-c894-447a-bb70-e63cf70984f2/?target=fh-16-xgk_hvimob_84473919962695q-feykn&end=end
58,整租,地铁4/9双地铁小两房 全新精装北欧风 窗外鸟语花香,2室1厅1卫,50㎡,汇龙花园,上梅林,个人,5300,http://short.58.com/zd_p/26e4fbc2-4030-4806-a211-dd5ae8012e38/?target=fh-16-xgk_hvimob_36205048341686q-feykn&end=end
58,单间,福田竹子林金众小区 3室1厅 次卧 朝南 中等装修,次卧(3室),20㎡,金众小区,竹子林,个人,1900,http://short.58.com/zd_p/2c3bef3b-668d-4486-8c23-57104193820e/?target=fh-16-xgk_ephv_32227561305495q-feykn&end=end
58,整租,福田中心区橄榄鹏苑 1室1厅 60平米 精装修 押二,1室1厅1卫,60㎡,橄榄鹏苑,中心区,个人,5800,http://short.58.com/zd_p/5c13f23b-0d82-4ea7-b0b5-eb79edf2d282/?target=fh-16-xgk_hvimob_32288956922409q-feykn&end=end
58,整租,花样年花好园 1室1厅1卫,1室1厅1卫,40㎡,None,车公庙,个人,4300,http://short.58.com/zd_p/00823792-0a18-4760-a242-add389a4dc91/?target=fh-16-xgk_hvimob_84470362327920q-feykn&end=end
58,单间,新洲 石厦 购物公园蓝色海云居 主卧出租,主卧(4室以上),40㎡,None,新洲,个人,2950,http://short.58.com/zd_p/15184187-fe81-4841-80ae-707c980733ec/?target=fh-16-xgk_ephv_84449314020149q-feykn&end=end
58,单间,艺丰花园C区上梅林-福田次卧1900元/月,次卧(2室),20㎡,艺丰花园C区,上梅林,个人,1900,http://short.58.com/zd_p/ed34ab64-dd67-4b8d-af91-70b2c396ce60/?target=fh-16-xgk_ephv_32221612240398q-feykn&end=end
58,单间,近车公庙、景田、下沙、深圳湾公园---个人转租次卧。,次卧(4室以上),9㎡,香蜜新村,景田,个人,1600,http://short.58.com/zd_p/d8104e64-8356-4e97-95a9-cfe0eb40bc03/?target=fh-16-xgk_ephv_84488024579210q-feykn&end=end
58,单间,景田新景苑(福田 1室1厅卫主卧 朝东 豪华装修,主卧(1室),20㎡,None,景田,个人,2699,http://short.58.com/zd_p/ec6357cb-5f0a-402e-8ba5-6b660f1e014e/?target=fh-16-xgk_ephv_32296414730367q-feykn&end=end
58,单间,益田村高层带电梯精装修1房1厅,主卧(3室),12㎡,None,益田村,个人,2200,http://short.58.com/zd_p/60e4f118-3265-4ec2-9d1f-c25648a2f171/?target=fh-16-xgk_ephv_31622000225158q-feykn&end=end
58,单间,个人转租 新洲花园 3室2厅1卫 男女不限,主卧(3室),16㎡,None,新洲,个人,2100,http://short.58.com/zd_p/c2999d07-4c8a-42de-bf84-fe30ec564397/?target=fh-16-xgk_ephv_84488098800222q-feykn&end=end
58,整租,会展中心皇岗海滨广场 2室1厅 67平米 精装修,2室1厅1卫,67㎡,福泉花园,皇岗,个人,5600,http://short.58.com/zd_p/354b2ae9-a023-4956-a0a8-3b4bd84e6561/?target=fh-16-xgk_hvimob_32056960733359q-feykn&end=end
58,整租,房东直接出租沙尾地铁站旁全新精装公寓、家私家电齐全,1室0厅1卫,16㎡,None,沙尾,个人,1280,http://short.58.com/zd_p/c756aba2-b1d3-4589-a3c5-c8bcce1ec31a/?target=fh-16-xgk_hvimob_32144488822744q-feykn&end=end
58,整租,景洲大厦 3室1厅 74平米 豪华装修 押二付一,3室1厅1卫,74㎡,景洲大厦,景田,个人,5500,http://sz.58.com/zufang/19884973318666x.shtml
58,单间,福田岗厦地铁福华新村 4室2厅 次卧 朝南 豪华装修,次卧(4室),20㎡,None,中心区,个人,2000,http://sz.58.com/hezu/24659059878333x.shtml
58,单间,交通极其便双地铁线交叉口大院合租,次卧(3室),15㎡,None,景田,个人,1650,http://sz.58.com/hezu/27993732659626x.shtml
58,单间,福田景田机场小区主卧招租,主卧(3室),18㎡,None,景田,个人,1800,http://sz.58.com/hezu/24118883192245x.shtml
58,整租,福田香蜜湖华泰小区 2室2厅 精装修 耀华实验学校旁,2室2厅1卫,72㎡,华泰小区,景田,个人,5000,http://sz.58.com/zufang/25448830901439x.shtml
58,整租,全套家私家电、拎包即住,1室0厅1卫,39㎡,鹏盛花园,八卦岭,个人,2800,http://sz.58.com/zufang/21738058074911x.shtml
58,单间,鑫竹苑 次卧 超方便 超好室友 拎包入住,次卧(4室),127㎡,None,车公庙,个人,2000,http://sz.58.com/hezu/22619694852748x.shtml
58,整租,免中介 拎包即住 交通便利,1室0厅1卫,39㎡,鹏盛花园,八卦岭,个人,2800,http://sz.58.com/zufang/21905350215563x.shtml
