源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,联城美园 2室1厅1卫,2室1厅1卫,80㎡,联城美园,人民南,个人,5800,http://short.58.com/zd_p/9bd38e88-fd90-4b00-be78-aed73cf10801/?target=fh-16-xgk_hvimob_84475691739610q-feykn&end=end
58,单间,诚信个人房源 2室1厅 次卧出租 朝东西,次卧(2室),20㎡,None,罗湖区委,个人,1500,http://short.58.com/zd_p/465c0b06-626f-46bc-a491-f3a5f7416e78/?target=fh-16-xgk_ephv_84485074093101q-feykn&end=end
58,整租,港岛银座 1室0厅1卫,1室0厅1卫,37㎡,港岛银座,蔡屋围,个人,3800,http://short.58.com/zd_p/a1fd1ba5-f382-473a-b86e-0606340b6f35/?target=fh-16-xgk_hvimob_32845464418291q-feykn&end=end
58,整租,业主招租 非中介KK Mall 附近 精装 家电全齐,1室1厅1卫,42㎡,幸福华府,蔡屋围,个人,4200,http://short.58.com/zd_p/1ccae4bb-12f6-48ec-af23-9da4088416dc/?target=fh-16-xgk_hvimob_39593556740404q-feykn&end=end
58,单间,罗湖笋岗大信大厦 5室1厅 次卧,次卧(4室以上),15㎡,大信大厦,笋岗,个人,1900,http://short.58.com/zd_p/f66af2e2-7193-42c2-b027-db299ba16759/?target=fh-16-xgk_ephv_84431470687523q-feykn&end=end
58,单间,800水电网费全包住单间,隔断(4室),10㎡,None,笋岗,个人,800,http://short.58.com/zd_p/5514ef34-f9ab-462d-a362-22a29bd064e3/?target=fh-16-xgk_ephv_39433547863695q-feykn&end=end
58,整租,新天地名居 1室1厅1卫,1室1厅1卫,40㎡,None,黄贝岭,个人,3800,http://short.58.com/zd_p/f3ca40b6-5c29-4315-8fed-bcc5b126b8c5/?target=fh-16-xgk_hvimob_84448730928317q-feykn&end=end
58,整租,深圳市罗湖区京基东方华都 1室1厅1卫,1室1厅1卫,40㎡,None,东门,个人,3500,http://short.58.com/zd_p/ecb30857-efc9-4d34-b2fc-ada2ee466ec4/?target=fh-16-xgk_hvimob_32216943618769q-feykn&end=end
58,整租,鹏瑞仙桐雅轩 2室2厅 69平米 精装修 押二付一,2室2厅1卫,69㎡,None,莲塘,个人,3900,http://short.58.com/zd_p/1010c292-d85e-47d3-aabe-3928f96776a4/?target=fh-16-xgk_hvimob_36309642680602q-feykn&end=end
58,整租,罗湖布心青橙时代公寓 1室1厅 42平米 精装修 业,1室1厅1卫,42㎡,青橙时代公寓,布心,个人,2500,http://short.58.com/zd_p/bbc6edbf-7505-4d91-8e33-6f82f02c5c73/?target=fh-16-xgk_hvimob_32285069141644q-feykn&end=end
58,整租,翠盈嘉园 2室2厅 68平米 押一付一,2室2厅1卫,68㎡,翠盈嘉园,洪湖,个人,5200,http://short.58.com/zd_p/a63c7687-6a28-4661-b9cc-1265de22e1d2/?target=fh-16-xgk_hvimob_72236174319443q-feykn&end=end
58,整租,都市名园 3室2厅2卫,3室2厅2卫,120㎡,None,蔡屋围,个人,9600,http://short.58.com/zd_p/0e9dab44-da22-40db-9e28-ced897e0831e/?target=fh-16-xgk_hvimob_32230717545382q-feykn&end=end
58,整租,个人出租水贝地铁站全新豪华装修复式公寓 1室1厅1卫,1室1厅1卫,39㎡,None,水贝,个人,3480,http://short.58.com/zd_p/55c9f09a-94a8-4625-9244-14277e4d46f6/?target=fh-16-xgk_hvimob_84477129707402q-feykn&end=end
58,单间,畔山花园莲塘-罗湖主卧900元/月,主卧(4室以上),120㎡,畔山花园,莲塘,个人,900,http://short.58.com/zd_p/243be93e-0990-410f-8a76-06ce2de18c85/?target=fh-16-xgk_ephv_36562201944115q-feykn&end=end
58,单间,精致公寓合租 免押金,主卧(3室),25㎡,None,人民南,个人,800,http://short.58.com/zd_p/c958e7eb-4dda-4e38-8907-4878d2abbce7/?target=fh-16-xgk_ephv_32075019590091q-feykn&end=end
58,单间,罗湖莲塘单身公寓 百兆光纤 业主直租,次卧(1室),15㎡,鹏兴花园一期,莲塘,个人,1200,http://sz.58.com/hezu/21133082107907x.shtml
58,整租,旭飞华天苑单身公寓业主直租21平米拎包即住,1室0厅1卫,21㎡,旭飞华天苑,泥岗,个人,1500,http://sz.58.com/zufang/18964288775817x.shtml
58,单间,全包1650罗湖水库东湖丽苑 2室1厅 次卧 朝西,次卧(2室),12㎡,东湖丽苑,水库,个人,1650,http://sz.58.com/hezu/24759896313540x.shtml
58,整租,罗湖笋岗春笋楼 1室1厅 40平米 精装修 押一付一,1室1厅1卫,40㎡,春笋楼,笋岗,个人,2200,http://sz.58.com/zufang/24327872554165x.shtml
58,整租,布心翠岭苑 3室1厅82平米 中等装修 押一付三,3室1厅1卫,82㎡,翠岭华苑,布心,个人,5100,http://sz.58.com/zufang/22250820986659x.shtml
58,整租,汇鑫花园 2室2厅1卫,2室2厅1卫,65㎡,汇鑫花园,黄贝岭,个人,5200,http://sz.58.com/zufang/18226317689738x.shtml
58,单间,近地铁、公交车站、菜市场、学校,次卧(3室),85㎡,None,布心,个人,1100,http://sz.58.com/hezu/23823203179701x.shtml
58,整租,罗湖莲塘金色年华家园 2室1厅 38平米 精装修 押,2室1厅1卫,38㎡,金色年华家园,莲塘,个人,3200,http://sz.58.com/zufang/24349897084599x.shtml
58,整租,笋岗村 2室1厅1卫,2室1厅1卫,40㎡,None,笋岗,个人,2500,http://sz.58.com/zufang/24228410146492x.shtml
58,整租,业主直租罗湖莲塘天越翔园精装修全新家私家电单身公寓出,1室0厅1卫,33㎡,None,莲塘,个人,3000,http://sz.58.com/zufang/24252540660283x.shtml
58,单间,罗湖区松园南 3室1厅 中等装修 朝南 主卧,次卧(3室),15㎡,None,罗湖,个人,1500,http://sz.58.com/hezu/19717327960961x.shtml
58,单间,火车站渔民村1室1厅 简单装修 朝南 主卧,主卧(1室),15㎡,渔民村住宅区,火车站,个人,1500,http://sz.58.com/hezu/20928762419849x.shtml
58,整租,2室2厅 67平米 精装修 押二付一,2室2厅1卫,67㎡,None,翠竹,个人,4500,http://sz.58.com/zufang/23708966704181x.shtml
58,单间,田贝田苑小区51 1室0厅 中等装修 朝南 主卧,主卧(1室),15㎡,None,田贝,个人,1350,http://sz.58.com/hezu/21178606908426x.shtml
58,单间,【非中介】布心地铁口 出租次卧 精装修 家电齐全,次卧(3室),12㎡,None,布心,个人,1000,http://sz.58.com/hezu/22540952622114x.shtml
58,单间,宁水花园 3室2厅 次卧 朝南北（第3层共7层）包水,次卧(3室),15㎡,None,黄贝岭,个人,1250,http://sz.58.com/hezu/25300273187279x.shtml
58,整租,罗湖莲塘名骏豪庭 2室2厅 70平米 简单装修 押二,2室2厅1卫,70㎡,名骏豪庭,莲塘,个人,4500,http://sz.58.com/zufang/22782394228128x.shtml
58,整租,大望新平村 1室1厅1卫,1室1厅1卫,45㎡,大望新平村,水库,个人,1080,http://sz.58.com/zufang/21613642004494x.shtml
58,单间,布心鹏城花园 3室2厅 中等装修 朝南 次卧,次卧(3室),12㎡,鹏城花园,布心,个人,1000,http://sz.58.com/hezu/18292245751560x.shtml
58,整租,靖轩豪苑 2室2厅1卫,2室2厅1卫,72㎡,None,黄贝岭,个人,4000,http://sz.58.com/zufang/29254731580622x.shtml
58,整租,农机五号大院 1室0厅1卫,1室0厅1卫,18㎡,None,罗湖区委,个人,1850,http://sz.58.com/zufang/30046106029629x.shtml
58,整租,翠景大厦 1室1厅1卫,1室1厅1卫,40㎡,None,田贝,个人,1700,http://sz.58.com/zufang/29973489062838x.shtml
58,整租,罗湖区帝王大厦广场北街小区振业大厦 1室1厅1卫,1室1厅1卫,20㎡,None,蔡屋围,个人,2300,http://sz.58.com/zufang/29950827407691x.shtml
58,整租,金色都汇 1室1厅1卫,1室1厅1卫,46㎡,None,国贸,个人,4500,http://sz.58.com/zufang/30046078531251x.shtml
58,整租,业主直招 罗湖莲塘名骏豪庭 2室1厅,2室1厅1卫,67㎡,名骏豪庭,莲塘,个人,3900,http://sz.58.com/zufang/29837395419855x.shtml
58,整租,海洋大厦 1室1厅1卫,1室1厅1卫,40㎡,海洋大厦,翠竹,个人,3100,http://sz.58.com/zufang/30022653116601x.shtml
58,整租,东方华都 1室1厅1卫,1室1厅1卫,40㎡,东方华都,黄贝岭,个人,3600,http://sz.58.com/zufang/30046047782216x.shtml
58,整租,景亿山庄 1室1厅1卫,1室1厅1卫,38㎡,None,布心,个人,2500,http://sz.58.com/zufang/29992786226100x.shtml
58,整租,布心花园二区 2室2厅1卫,2室2厅1卫,70㎡,布心花园二区,布心,个人,3500,http://sz.58.com/zufang/30011942670157x.shtml
58,整租,国晖大厦 1室0厅1卫,1室0厅1卫,25㎡,None,国贸,个人,2100,http://sz.58.com/zufang/30014456125758x.shtml
58,单间,个人出租合租主卧 布心花园旁 特检站单位小区,主卧(2室),15㎡,None,水库,个人,1800,http://sz.58.com/hezu/29890301939912x.shtml
58,整租,碧岭华庭 1室1厅1卫,1室1厅1卫,74㎡,None,布心,个人,4800,http://sz.58.com/zufang/29999792919501x.shtml
58,整租,紫荆花园 1室1厅1卫,1室1厅1卫,30㎡,紫荆花园,布心,个人,1800,http://sz.58.com/zufang/30045979053371x.shtml
58,整租,莲塘D小区（免中介）交通便利 1室1厅1卫,1室1厅1卫,32㎡,None,黄贝岭,个人,1600,http://sz.58.com/zufang/29841202651335x.shtml
58,单间,布心村一房一厅合租 1室1厅1卫 男女不限,主卧(1室),60㎡,None,布心,个人,1000,http://sz.58.com/hezu/30045965839951x.shtml
58,整租,翠景大厦 2室1厅1卫,2室1厅1卫,65㎡,None,水贝,个人,3700,http://sz.58.com/zufang/30021981113650x.shtml
58,整租,愉天小区 1室1厅1卫,1室1厅1卫,35.04㎡,愉天小区,翠竹,个人,2500,http://sz.58.com/zufang/30045958885584x.shtml
58,整租,仙桐馨苑 1室1厅1卫,1室1厅1卫,30㎡,None,罗湖,个人,2000,http://sz.58.com/zufang/29739404141742x.shtml
58,整租,东方颐园 2室2厅1卫,2室2厅1卫,53㎡,None,东门,个人,4800,http://sz.58.com/zufang/29928845019834x.shtml
58,单间,清水河红岗西村 3室2厅 主卧 朝南 精装修,主卧(3室),10㎡,None,清水河,个人,1200,http://sz.58.com/hezu/29917531392063x.shtml
58,单间,新秀村南区 3室1厅1卫 男女不限 押二付一,次卧(3室),72㎡,None,黄贝岭,个人,1200,http://sz.58.com/hezu/29691588355894x.shtml
58,整租,峰景台大厦 3室1厅1卫,3室1厅1卫,81㎡,None,黄贝岭,个人,5200,http://sz.58.com/zufang/25781317033130x.shtml
58,单间,碧波花园南区 5室2厅2卫 太空舱位 男女不限,隔断(4室以上),181㎡,None,黄贝岭,个人,700,http://sz.58.com/hezu/29964727040043x.shtml
58,整租,噼啪公寓 1室1厅1卫,1室1厅1卫,35㎡,None,田贝,个人,3500,http://sz.58.com/zufang/29996052229712x.shtml
58,整租,噼啪公寓 1室1厅1卫,1室1厅1卫,35㎡,None,水贝,个人,3501,http://sz.58.com/zufang/29996117687760x.shtml
58,整租,长丰苑 2室2厅1卫,2室2厅1卫,68㎡,None,东门,个人,4600,http://sz.58.com/zufang/29983402181710x.shtml
58,整租,向西村 1室0厅1卫,1室0厅1卫,16㎡,None,文锦渡,个人,1200,http://sz.58.com/zufang/29436321595724x.shtml
58,单间,友谊大厦 男女不限 个人转1300 家电齐全,隔断(1室),20㎡,None,人民南,个人,1300,http://sz.58.com/hezu/30045906967596x.shtml
58,单间,文锦渡海关三院生活区罗湖-文锦渡次卧1480元/月,次卧(3室),16㎡,文锦渡海关三院生活区,文锦渡,个人,1480,http://sz.58.com/hezu/29903479562309x.shtml
58,整租,东门-罗湖聚龙大厦2室1厅家私齐全免,2室1厅1卫,None,聚龙大厦,东门,个人,4100,http://sz.58.com/zufang/30035582875946x.shtml
58,单间,城东街小区 4室1厅1卫 主卧出租 男女不限,主卧(4室),30㎡,None,东门,个人,1300,http://sz.58.com/hezu/30045828922943x.shtml
58,单间,罗湖蔡屋围红桂大厦单间出租 长城大酒店旁单间出租,主卧(4室),23㎡,红桂大厦,蔡屋围,个人,1350,http://sz.58.com/hezu/29924751586230x.shtml
58,单间,铁东小区 3室1厅1卫 限女生,次卧(3室),10㎡,None,罗湖区委,个人,1000,http://sz.58.com/hezu/28098978712784x.shtml
58,整租,布心-罗湖景亿山庄1室1厅1卫2000元,1室1厅1卫,None,景亿山庄,布心,个人,2000,http://sz.58.com/zufang/30045834977851x.shtml
58,单间,月底可入住-罗湖万象城嘉宾花园大主卧2000元/月,主卧(3室),18㎡,嘉宾花园,蔡屋围,个人,2000,http://sz.58.com/hezu/30045182928970x.shtml
58,单间,新秀地铁站正对面江洲大厦 单身公寓,主卧(1室),20㎡,None,黄贝岭,个人,1900,http://sz.58.com/hezu/27793967137718x.shtml
58,整租,港澳8号 2室1厅2卫,2室1厅2卫,69㎡,None,东门,个人,6500,http://sz.58.com/zufang/29813465164234x.shtml
