源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,龙胜地铁公寓 2室1厅1卫,2室1厅1卫,53㎡,None,龙华,个人,2200,http://short.58.com/zd_p/2cb7c7f3-12e5-4eff-b269-c03e64c01e17/?target=fh-16-xgk_hvimob_32267232267525q-feykn&end=end
58,整租,祥利上城 3室1厅1卫,3室1厅1卫,89㎡,None,观澜,个人,2200,http://short.58.com/zd_p/98653fbc-d56d-422d-9463-1b54a60a0fdc/?target=fh-16-xgk_hvimob_84455219292756q-feykn&end=end
58,单间,民治水尾三区 1室1厅1卫,主卧(1室),20㎡,None,民治,个人,1200,http://short.58.com/zd_p/b7fea021-6c26-4339-8c20-ffbd1d674f47/?target=fh-16-xgk_ephv_30200527688399q-feykn&end=end
58,整租,上岭排新村 2室1厅1卫,2室1厅1卫,60㎡,None,大浪,个人,1000,http://short.58.com/zd_p/b597780f-4856-468a-9efa-abd2426d6d47/?target=fh-16-xgk_hvimob_32278724821343q-feykn&end=end
58,整租,逸秀新村东方 1室0厅1卫,1室0厅1卫,18㎡,逸秀新村东方天德大厦,莱蒙水榭春天,个人,1350,http://short.58.com/zd_p/1379a4e6-088a-45bc-80c4-2c75259258f3/?target=fh-16-xgk_hvimob_32280348570361q-feykn&end=end
58,整租,龙华新区宝湖居 3室2厅 97平米 精装修 拎包入住,3室2厅1卫,97㎡,龙华宝湖居,龙华,个人,3300,http://short.58.com/zd_p/5ec42dbc-fd14-4c43-8345-480df96f589e/?target=fh-16-xgk_hvimob_32061355192185q-feykn&end=end
58,单间,龙华新区民治莱蒙水榭春天 3室1厅 次卧 朝南 精装,次卧(3室),20㎡,莱蒙水榭春天六期,民治,个人,2080,http://short.58.com/zd_p/bd910480-551c-4034-a641-f4667de2fc72/?target=fh-16-xgk_ephv_32268646657716q-feykn&end=end
58,整租,田背花园 1室1厅 23平米 中等装修 押二付一,1室1厅1卫,23㎡,田背花园,观澜,个人,1200,http://short.58.com/zd_p/1096f56a-00e6-4445-b330-b91445655c1f/?target=fh-16-xgk_hvimob_36940481057816q-feykn&end=end
58,整租,龙华大浪科泰大厦 1室0厅1卫,1室0厅1卫,30㎡,None,大浪,个人,850,http://short.58.com/zd_p/46ade949-0180-4905-a313-401f8f6d8cca/?target=fh-16-xgk_hvimob_32223782147171q-feykn&end=end
58,整租,龙华新区龙华特发和平里 4室2厅 110平米 精装修,4室2厅1卫,110㎡,特发和平里,龙华,个人,5800,http://short.58.com/zd_p/eb705a7f-f6f8-4523-a6a0-675ffd686b4d/?target=fh-16-xgk_hvimob_31870921901922q-feykn&end=end
58,整租,大浪金威大厦 3室2厅1卫,3室2厅1卫,115㎡,None,大浪,个人,4000,http://short.58.com/zd_p/c1bd0b7a-69be-404f-9894-708a63ce6230/?target=fh-16-xgk_hvimob_32238069655523q-feykn&end=end
58,整租,维港公寓 1室1厅1卫,1室1厅1卫,30㎡,None,民治,个人,1750,http://short.58.com/zd_p/c6c919ec-4c6e-494e-9a70-7cd8a556e8e4/?target=fh-16-xgk_hvimob_32212705708394q-feykn&end=end
58,整租,龙华新区大浪深圳市龙华新 3室2厅 115平米 简单,3室2厅1卫,115㎡,None,大浪,个人,4000,http://short.58.com/zd_p/a86d7521-1c18-415b-84ac-18ffeb4cf142/?target=fh-16-xgk_hvimob_32025386257222q-feykn&end=end
58,整租,星窝青年创业公寓 1室1厅1卫,1室1厅1卫,35㎡,None,民治,个人,2400,http://short.58.com/zd_p/a2c88f42-00ab-4099-ae4f-5f4c817ca01d/?target=fh-16-xgk_hvimob_32957589482263q-feykn&end=end
58,单间,龙华新区万科金域华府 3室2厅 次卧 朝南 豪华装修,次卧(3室),25㎡,万科金域华府(公寓),龙华,个人,2200,http://short.58.com/zd_p/0268bcdb-f214-4195-9d95-d4bf8e8a4c8d/?target=fh-16-xgk_ephv_32013868247523q-feykn&end=end
58,单间,梅林关白石龙地铁口100米中卧精装修近深圳北,主卧(3室),30㎡,None,梅林关口,个人,1900,http://short.58.com/zd_p/9ad7435f-17b1-4892-8e3d-6b7b9fdc1d86/?target=fh-16-xgk_ephv_32241780045601q-feykn&end=end
58,整租,业主直租龙华依山小筑花园带学位电梯2房精装大阳台采光,2室2厅1卫,63㎡,依山小筑,龙华,个人,2300,http://short.58.com/zd_p/32e578cd-5e4c-4db1-8d28-863b869b1553/?target=fh-16-xgk_hvimob_32656106114425q-feykn&end=end
58,整租,房东直租龙胜地铁站附近精装公寓 真实图片 拎包入住,1室0厅1卫,32㎡,元芬花园,龙华,个人,850,http://short.58.com/zd_p/426666bc-17ed-4263-9242-e2f7200c1d60/?target=fh-16-xgk_hvimob_32071478900245q-feykn&end=end
58,整租,龙军花园 3室1厅2卫,3室1厅2卫,110㎡,龙军花园,龙华,个人,4500,http://short.58.com/zd_p/ea910b40-8635-4daa-b662-f684aa3958f1/?target=fh-16-xgk_hvimob_84482083784779q-feykn&end=end
58,整租,龙华新区民治横岭一区 2室1厅 59平米 精装修 押,2室1厅1卫,50㎡,横岭一区,民治,个人,2500,http://short.58.com/zd_p/b2dce685-b8be-4577-90f6-ce273cc6e587/?target=fh-16-xgk_hvimob_32620943642272q-feykn&end=end
58,整租,龙军花园 2室1厅1卫,2室1厅1卫,58㎡,龙军花园,龙华,个人,3000,http://short.58.com/zd_p/fc8c2736-d588-45e7-8995-9a94a8fd9a5e/?target=fh-16-xgk_hvimob_32223673896344q-feykn&end=end
58,整租,民治 地铁口 1室1厅 50平米 全新中等装修带空调,1室1厅1卫,50㎡,None,民治,个人,1600,http://short.58.com/zd_p/10ec61ca-0deb-4225-bec1-3409b337f1a2/?target=fh-16-xgk_hvimob_32904534649266q-feykn&end=end
58,单间,龙华新区梅林关口民乐翠园小区 3房 次卧 朝南北（全,次卧(3室),13㎡,民乐翠园小区,梅林关口,个人,1300,http://short.58.com/zd_p/3257501a-eeb9-426e-bb9d-9adb6f3fea18/?target=fh-16-xgk_ephv_32250094421585q-feykn&end=end
58,整租,【房东直租、龙华新区龙华龙济医院 公交站 】,1室0厅1卫,26㎡,None,龙华,个人,680,http://short.58.com/zd_p/af695feb-e54b-4aec-9d2d-373bf22a0171/?target=fh-16-xgk_hvimob_32270859152963q-feykn&end=end
58,整租,民治地铁D口朝阳新村 1室0厅 20平米 简单装修,1室0厅1卫,25㎡,朝阳新村,民治,个人,1000,http://short.58.com/zd_p/bfaf8082-68bf-4099-a316-55cb46d3a035/?target=fh-16-xgk_hvimob_32057764896704q-feykn&end=end
58,整租,龙华汽车站附近、全新家具家电、拎包入住,1室1厅1卫,25㎡,None,龙华,个人,1200,http://short.58.com/zd_p/34d9f02c-d71e-4351-bb11-d4dff69c6d61/?target=fh-16-xgk_hvimob_32236649795642q-feykn&end=end
58,整租,业主直租水尾新村 2室1厅 71平米 精装修 押一付,2室1厅1卫,71㎡,水围新村,民治,个人,3000,http://short.58.com/zd_p/8e57a9f7-54ed-44c3-9e7e-dbc5c9755ed7/?target=fh-16-xgk_hvimob_31148658180427q-feykn&end=end
58,整租,玉翠新村 3室2厅1卫,3室2厅1卫,108㎡,None,龙华,个人,3000,http://short.58.com/zd_p/91aed02c-5f3e-4adf-83a2-acba614ebc5b/?target=fh-16-xgk_hvimob_84481878873340q-feykn&end=end
58,整租,章阁中心城小区2房2厅精装修出租二押一付月租1800,2室2厅1卫,65㎡,None,观澜,个人,1800,http://sz.58.com/zufang/22065630622627x.shtml
58,整租,梅林关口民乐 3室2厅80平米 简单装修 押一付一,3室2厅1卫,80㎡,梅林关口民乐翠园,梅林关口,个人,3000,http://sz.58.com/zufang/18328062173058x.shtml
58,整租,龙华深圳警备区龙 3室1厅 简单装修 押二付一,3室1厅1卫,62㎡,None,龙华,个人,3600,http://sz.58.com/zufang/22195294929034x.shtml
58,整租,业主直租 龙华中心丹枫雅苑 一房家私电齐、楼层佳拎包,1室1厅1卫,50㎡,丹枫雅苑,龙华,个人,3200,http://sz.58.com/zufang/21894974201368x.shtml
58,整租,龙华新区玉翠新村十四楼 1室1厅1卫,1室1厅1卫,50㎡,None,龙华,个人,1800,http://sz.58.com/zufang/18215836034824x.shtml
58,整租,远景家园 2室1厅 99平米 精装修 押二付一,2室1厅1卫,99㎡,远景家园,龙华,个人,4000,http://sz.58.com/zufang/24416075930297x.shtml
58,单间,共和花园 1室1卫 男女不限,主卧(1室),40㎡,None,龙华新区,个人,600,http://sz.58.com/hezu/26463132924471x.shtml
58,整租,福轩新村 3室2厅 108平米 精装修 押二付一,3室2厅2卫,108㎡,None,大浪,个人,2350,http://sz.58.com/zufang/19201291649543x.shtml
58,整租,金地上塘道一 3室2厅2卫,3室2厅2卫,90㎡,金地上塘道一期,龙华,个人,5400,http://sz.58.com/zufang/23787147351347x.shtml
58,整租,龙华瑞丰雅苑 2室1厅60平米 精装修 押一付三,2室1厅1卫,70㎡,瑞丰雅苑,龙华,个人,2000,http://sz.58.com/zufang/19065609483522x.shtml
58,整租,龙华澳华花园 2室1厅1卫,2室1厅1卫,70㎡,None,大浪,个人,2500,http://sz.58.com/zufang/27140691461071x.shtml
58,整租,龙华新区-大浪中央峰景 4室2厅2卫4500元,4室2厅2卫,137㎡,None,大浪,个人,4200,http://sz.58.com/zufang/24632156718657x.shtml
