源站点,租房类型,标题,室厅卫,面积,小区,地区,房源,价格,原文链接
58,整租,坂田天虹（KFC旁边）1室1厅 50平米 拎包入住,1室1厅1卫,50㎡,None,坂田,个人,1000,http://short.58.com/zd_p/bf6c12c4-ade2-41c1-97f6-c2a73e92b345/?target=fh-16-xgk_hvimob_32233025368379q-feykn&end=end
58,整租,地铁站零距离、房东直租《大单间、一房一厅》火爆招租家,1室0厅1卫,43㎡,None,龙岗中心城,个人,600,http://short.58.com/zd_p/08d9f4c1-571b-4660-9438-37add6539226/?target=fh-16-xgk_hvimob_32275755276685q-feykn&end=end
58,整租,融富花园 2室1厅1卫,2室1厅1卫,80㎡,融富花园,坪地,个人,1600,http://short.58.com/zd_p/10f28c07-e0de-4a5d-9178-c16bc911df7f/?target=fh-16-xgk_hvimob_84438189892220q-feykn&end=end
58,整租,塘坑地铁站对面独栋独院 4室3厅3卫,4室3厅3卫,260㎡,None,横岗,个人,5880,http://short.58.com/zd_p/d07cb087-2095-4227-828c-824bc053293d/?target=fh-16-xgk_hvimob_32582064656495q-feykn&end=end
58,整租,百合盛世 3室2厅2卫,3室2厅2卫,100㎡,百合盛世,龙岗中心城,个人,3200,http://short.58.com/zd_p/b52131f1-a631-4da5-9eef-f08a7e1c8895/?target=fh-16-xgk_hvimob_84478220479381q-feykn&end=end
58,整租,龙岗中心城悦城花园三期 3室1厅 83平米 精装修,3室1厅1卫,83㎡,None,龙岗中心城,个人,2800,http://short.58.com/zd_p/8dffcfd8-0064-43fe-b89c-e879fc638d49/?target=fh-16-xgk_hvimob_32007228950369q-feykn&end=end
58,整租,润创兴时代公寓 2室1厅1卫,2室1厅1卫,50㎡,None,坂田,个人,3600,http://short.58.com/zd_p/bb685ef0-103e-4b21-869e-aa02b984cc06/?target=fh-16-xgk_hvimob_32197395249219q-feykn&end=end
58,整租,龙岗区坂田太阳雨家园 3室2厅 88.4平米 豪华装,3室2厅1卫,88.4㎡,None,坂田,个人,5000,http://short.58.com/zd_p/51cb3ca5-5a38-484c-9733-fe5930c23854/?target=fh-16-xgk_hvimob_32239646227714q-feykn&end=end
58,整租,巫屋村三巷6 1室1厅1卫,1室1厅1卫,50㎡,None,龙岗中心城,个人,900,http://short.58.com/zd_p/ca47aace-57ca-44ba-8685-85fe97645629/?target=fh-16-xgk_hvimob_32292651632403q-feykn&end=end
58,整租,百达利小区 3室2厅2卫,3室2厅2卫,110㎡,None,坂田,个人,3200,http://short.58.com/zd_p/4d4e2229-1481-4d4c-a1ea-3aeec01d0d98/?target=fh-16-xgk_hvimob_84477041824138q-feykn&end=end
58,整租,龙岗坪地宜城风景 3室1厅 108平米 精装修 押二,3室1厅1卫,108㎡,None,坪地,个人,3800,http://short.58.com/zd_p/ec477dcd-a271-48be-8ee2-708060a76f83/?target=fh-16-xgk_hvimob_30919556245734q-feykn&end=end
